method,snapshot_t,user,channel
Cold,0,0,0
Cold,0,1,1
Cold,0,2,2
Cold,0,3,0
Cold,0,4,1
Cold,1,0,0
Cold,1,1,2
Cold,1,2,1
Cold,1,3,0
Cold,1,4,2
Cold,2,0,0
Cold,2,1,1
Cold,2,2,2
Cold,2,3,0
Cold,2,4,1
Cold,3,0,0
Cold,3,1,2
Cold,3,2,1
Cold,3,3,0
Cold,3,4,2
Cold,4,0,1
Cold,4,1,2
Cold,4,2,0
Cold,4,3,1
Cold,4,4,2
Cold,5,0,1
Cold,5,1,1
Cold,5,2,0
Cold,5,3,0
Cold,5,4,2
Cold,6,0,1
Cold,6,1,1
Cold,6,2,2
Cold,6,3,0
Cold,6,4,0
Cold,7,0,1
Cold,7,1,1
Cold,7,2,0
Cold,7,3,0
Cold,7,4,2
Cold,8,0,1
Cold,8,1,1
Cold,8,2,2
Cold,8,3,0
Cold,8,4,2
Cold,9,0,0
Cold,9,1,1
Cold,9,2,2
Cold,9,3,0
Cold,9,4,2
Param,0,0,0
Param,0,1,1
Param,0,2,2
Param,0,3,0
Param,0,4,1
Param,1,0,1
Param,1,1,1
Param,1,2,2
Param,1,3,0
Param,1,4,1
Param,2,0,0
Param,2,1,1
Param,2,2,2
Param,2,3,0
Param,2,4,1
Param,3,0,1
Param,3,1,1
Param,3,2,2
Param,3,3,0
Param,3,4,1
Param,4,0,1
Param,4,1,1
Param,4,2,2
Param,4,3,0
Param,4,4,1
Param,5,0,0
Param,5,1,2
Param,5,2,2
Param,5,3,0
Param,5,4,1
Param,6,0,0
Param,6,1,0
Param,6,2,2
Param,6,3,0
Param,6,4,1
Param,7,0,0
Param,7,1,0
Param,7,2,2
Param,7,3,1
Param,7,4,1
Param,8,0,0
Param,8,1,0
Param,8,2,2
Param,8,3,0
Param,8,4,1
Param,9,0,0
Param,9,1,0
Param,9,2,2
Param,9,3,1
Param,9,4,1
State,0,0,0
State,0,1,1
State,0,2,2
State,0,3,0
State,0,4,1
State,1,0,1
State,1,1,1
