regime,seed,snapshot_t,u,v,weight,active
sudden,11,0,0,1,0.3100485105087172,1
sudden,11,0,0,2,0.49989670488475696,1
sudden,11,0,0,3,0.0,0
sudden,11,0,0,4,0.0,0
sudden,11,0,1,2,0.5058817018547245,1
sudden,11,0,1,3,0.5073893126857697,1
sudden,11,0,1,4,0.0,0
sudden,11,0,2,3,0.5272290229992804,1
sudden,11,0,2,4,0.48074274278200635,1
sudden,11,0,3,4,0.3615618230516569,1
sudden,11,1,0,1,0.0,0
sudden,11,1,0,2,0.47302186771688787,1
sudden,11,1,0,3,0.0,0
sudden,11,1,0,4,0.0,0
sudden,11,1,1,2,0.5325139786233466,1
sudden,11,1,1,3,0.5320887524821086,1
sudden,11,1,1,4,0.0,0
sudden,11,1,2,3,0.5222048889219575,1
sudden,11,1,2,4,0.458629389011887,1
sudden,11,1,3,4,0.42706585789110163,1
sudden,11,2,0,1,0.0,0
sudden,11,2,0,2,0.5510341486464346,1
sudden,11,2,0,3,0.0,0
sudden,11,2,0,4,0.0,0
sudden,11,2,1,2,0.5228166794597247,1
sudden,11,2,1,3,0.5265708693975272,1
sudden,11,2,1,4,0.0,0
sudden,11,2,2,3,0.4699516285453774,1
sudden,11,2,2,4,0.4471696549213128,1
sudden,11,2,3,4,0.4071886230485342,1
sudden,11,3,0,1,0.0,0
sudden,11,3,0,2,0.6025472354907815,1
sudden,11,3,0,3,0.0,0
sudden,11,3,0,4,0.0,0
sudden,11,3,1,2,0.5445843485798108,1
sudden,11,3,1,3,0.5638370759794766,1
sudden,11,3,1,4,0.0,0
sudden,11,3,2,3,0.4185316944704341,1
sudden,11,3,2,4,0.41967248034499494,1
sudden,11,3,3,4,0.37006289341559045,1
sudden,11,4,0,1,0.2935209775130482,1
sudden,11,4,0,2,0.6066273886933552,1
sudden,11,4,0,3,0.0,0
sudden,11,4,0,4,0.0,0
sudden,11,4,1,2,0.5640436892703937,1
sudden,11,4,1,3,0.5086067586185573,1
sudden,11,4,1,4,0.0,0
sudden,11,4,2,3,0.461992229950822,1
sudden,11,4,2,4,0.4622864803759701,1
sudden,11,4,3,4,0.45086895774062385,1
sudden,11,5,0,1,0.0,0
sudden,11,5,0,2,0.6062820266070093,1
sudden,11,5,0,3,0.0,0
sudden,11,5,0,4,0.5262598660948984,1
sudden,11,5,1,2,0.5550183808930587,1
sudden,11,5,1,3,0.6095502243560014,1
sudden,11,5,1,4,0.6426030154370537,1
sudden,11,5,2,3,0.5209956154055836,1
sudden,11,5,2,4,0.9092076767076734,1
sudden,11,5,3,4,0.5907596793549699,1
sudden,11,6,0,1,0.0,0
sudden,11,6,0,2,0.5471879940474534,1
sudden,11,6,0,3,0.0,0
sudden,11,6,0,4,0.5719224074915328,1
sudden,11,6,1,2,0.624933816172262,1
sudden,11,6,1,3,0.6074631495246605,1
sudden,11,6,1,4,0.6414830607753998,1
sudden,11,6,2,3,0.5820484949953046,1
sudden,11,6,2,4,0.9039985503317388,1
sudden,11,6,3,4,0.5127845383790884,1
sudden,11,7,0,1,0.0,0
sudden,11,7,0,2,0.4768673563627609,1
sudden,11,7,0,3,0.0,0
sudden,11,7,0,4,0.5111573511882216,1
sudden,11,7,1,2,0.6553441217707998,1
sudden,11,7,1,3,0.5681596856332759,1
sudden,11,7,1,4,0.6665435045496209,1
sudden,11,7,2,3,0.5908741025986918,1
sudden,11,7,2,4,0.9121115464501114,1
sudden,11,7,3,4,0.5165055792723658,1
sudden,11,8,0,1,0.0,0
sudden,11,8,0,2,0.5136197831739342,1
sudden,11,8,0,3,0.0,0
sudden,11,8,0,4,0.49307924292010963,1
sudden,11,8,1,2,0.5947743246949755,1
sudden,11,8,1,3,0.6189389751948884,1
sudden,11,8,1,4,0.697017228252065,1
sudden,11,8,2,3,0.657619943720354,1
sudden,11,8,2,4,0.8539272821861813,1
sudden,11,8,3,4,0.6089868458294285,1
sudden,11,9,0,1,0.0,0
sudden,11,9,0,2,0.36363167810149594,1
sudden,11,9,0,3,0.0,0
sudden,11,9,0,4,0.4844261825124633,1
sudden,11,9,1,2,0.6251187706062014,1
sudden,11,9,1,3,0.6001483653812256,1
sudden,11,9,1,4,0.6521779965819561,1
sudden,11,9,2,3,0.7082175746529631,1
sudden,11,9,2,4,0.830604169008899,1
sudden,11,9,3,4,0.5644010494754564,1
