regime,seed,snapshot_t,user,x,y
sudden,11,0,0,0.14,0.78
sudden,11,0,1,0.3,0.3
sudden,11,0,2,0.47,0.62
sudden,11,0,3,0.66,0.33
sudden,11,0,4,0.82,0.77
sudden,11,1,0,0.14102578301759555,0.8207924262092989
sudden,11,1,1,0.336741632357578,0.28469078769636996
sudden,11,1,2,0.46106091466680654,0.6041784742089973
sudden,11,1,3,0.6770917907271589,0.32831806682863146
sudden,11,1,4,0.8424065684876962,0.7145802560307767
sudden,11,2,0,0.18802224625858116,0.8178994614046303
sudden,11,2,1,0.35715298595580236,0.2805937976770651
sudden,11,2,2,0.44968795765456093,0.6180717789669249
sudden,11,2,3,0.7018271965530622,0.3222421707078279
sudden,11,2,4,0.8378229831305903,0.7351512143550544
sudden,11,3,0,0.16191202700016602,0.7724679562926885
sudden,11,3,1,0.3690024418382883,0.2604768229664287
sudden,11,3,2,0.3920777399510201,0.5936501690485642
sudden,11,3,3,0.6877992697862798,0.28644609638486007
sudden,11,3,4,0.7930490666086993,0.7362503491633985
sudden,11,4,0,0.18882950470199844,0.7654739939538748
sudden,11,4,1,0.3466945609530229,0.27202663722886594
sudden,11,4,2,0.41359481416685157,0.5846498510939099
sudden,11,4,3,0.7041393040239066,0.31773236068234867
sudden,11,4,4,0.7868403735224496,0.7118448829039513
sudden,11,5,0,0.19925902265746373,0.7729003661827603
sudden,11,5,1,0.3796589440054552,0.23348921386470559
sudden,11,5,2,0.3937464262561851,0.5595048422724397
sudden,11,5,3,0.652118858636921,0.3215253973382586
sudden,11,5,4,0.4066522262674147,0.49418658429768275
sudden,11,6,0,0.24082843489234848,0.7975580962825733
sudden,11,6,1,0.39848023837052127,0.24554042660793468
sudden,11,6,2,0.4224165131896442,0.5195454470861466
sudden,11,6,3,0.6705367483844169,0.339608702344262
sudden,11,6,4,0.35362066895312544,0.5045974873593141
sudden,11,7,0,0.23331579449104942,0.8210037771644243
sudden,11,7,1,0.38530837274139124,0.24499320087846166
sudden,11,7,2,0.43270205870917383,0.49325759642382033
sudden,11,7,3,0.6884946478298284,0.33645980668855197
sudden,11,7,4,0.36839514766350273,0.48894236216921044
sudden,11,8,0,0.26590184078937495,0.8391598365173085
sudden,11,8,1,0.37996762199981116,0.26395191559126996
sudden,11,8,2,0.47049471354993255,0.54699286182876
sudden,11,8,3,0.6412873567166218,0.36295376103722754
sudden,11,8,4,0.38234720291890417,0.4861265387636201
sudden,11,9,0,0.2357018927400628,0.8768754949215029
sudden,11,9,1,0.34211548219647403,0.28096027956331243
sudden,11,9,2,0.5095507534360132,0.4990027831872156
sudden,11,9,3,0.632211821502124,0.32367725651173856
sudden,11,9,4,0.38966882615998116,0.5315577926838597
