regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.1601439167053655,0.15657246358289736,1.0,0.0009765625,24,2048,102,112,24.47220231499523
stationary,101,Param,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.1601439167053655,0.15657246358289736,1.0,0.0009765625,24,2048,102,112,24.47220231499523
stationary,101,State,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.1601439167053655,0.15657246358289736,1.0,0.0009765625,24,2048,102,112,24.47220231499523
stationary,101,Combined,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.1601439167053655,0.15657246358289736,1.0,0.0009765625,24,2048,102,112,24.47220231499523
stationary,101,Cold,1,0.0,0.06,0.0,0.2,0.21657246358289736,0.15657246358289736,0.2,0.0,0.5226275784043112,0.06,1.0,0.01220703125,24,2048,102,113,26.631950929993764
stationary,101,Param,1,0.0,0.06,0.0,0.2,0.21657246358289736,0.15657246358289736,0.2,0.0,0.5465193192378509,0.06,1.0,0.00048828125,24,2048,102,113,27.589807412819937
stationary,101,State,1,0.0,0.15657246358289736,0.15657246358289736,0.0,0.31314492716579473,0.31314492716579473,0.0,-0.09657246358289737,0.15755120873913908,0.15657246358289736,1.0,0.99609375,24,2048,102,112,8.588457955047488
stationary,101,Combined,1,0.0,0.12,0.0,0.4,0.27657246358289733,0.15657246358289736,0.4,-0.06,0.16366555473589472,0.12,1.0,0.0009765625,24,2048,102,112,10.826171315042302
stationary,101,Cold,2,0.0,0.0,0.0,0.0,0.21657246358289736,0.15657246358289736,0.2,0.0,0.5487539378460141,0.0,1.0,0.00341796875,24,2048,102,113,17.141360169975087
stationary,101,Param,2,0.0,0.0,0.0,0.0,0.21657246358289736,0.15657246358289736,0.2,0.0,0.5547488572924875,0.0,1.0,0.00146484375,24,2048,102,113,33.46429559006356
stationary,101,State,2,0.0,0.06,0.0,0.2,0.3731449271657947,0.31314492716579473,0.2,-0.06,0.20757407066877928,0.06,1.0,0.013671875,24,2048,102,112,10.415475983871147
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.006758957505803178,0.0,1.0,0.9833984375,24,2048,102,112,9.4981832660269
stationary,101,Cold,3,0.0,0.18,0.0,0.6000000000000001,0.3965724635828973,0.15657246358289736,0.8,0.0,0.1805456859542656,0.18,1.0,0.998046875,24,2048,102,113,10.585517845116556
stationary,101,Param,3,0.0,0.3,0.0,1.0,0.5165724635828973,0.15657246358289736,1.2,-0.12,0.30045940656420134,0.3,1.0,0.99755859375,24,2048,102,113,39.44545811600983
stationary,101,State,3,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.18,0.0003446516163796763,0.0,1.0,0.99853515625,24,2048,102,113,20.28627457190305
