regime,seed,method,lambda_switch,cumulative_switches,cumulative_interference,cumulative_cost
stationary,101,Cold,0.0,6.999999999999998,0.26981710956585536,0.26981710956585536
stationary,101,Combined,0.0,0.4,0.15657246358289736,0.15657246358289736
stationary,101,Cold,0.15,2.6,0.36692728982149225,0.7569272898214922
stationary,101,Combined,0.15,0.4,0.15657246358289736,0.21657246358289736
stationary,101,Cold,0.3,2.0,0.36692728982149225,0.9669272898214922
stationary,101,Combined,0.3,0.4,0.15657246358289736,0.27657246358289733
stationary,101,Cold,0.6,1.2,1.4772241795973486,2.197224179597349
stationary,101,Combined,0.6,0.2,0.4697173907486921,0.5897173907486921
stationary,102,Cold,0.0,9.6,0.113244645982958,0.113244645982958
stationary,102,Combined,0.0,0.0,0.0,0.0
stationary,102,Cold,0.15,3.8000000000000003,0.26224338917013024,0.8322433891701302
stationary,102,Combined,0.15,0.0,0.0,0.0
stationary,102,Cold,0.3,2.0,0.5729234453570425,1.1729234453570425
stationary,102,Combined,0.3,0.0,0.0,0.0
stationary,102,Cold,0.6,2.4000000000000004,0.9031898631860291,2.343189863186029
stationary,102,Combined,0.6,0.0,0.0,0.0
gradual,201,Cold,0.0,6.6,0.5220098679703487,0.5220098679703487
gradual,201,Combined,0.0,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.15,3.4000000000000004,0.6534410737724192,1.1634410737724192
gradual,201,Combined,0.15,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.3,2.6,0.6871010389657652,1.4671010389657653
gradual,201,Combined,0.3,0.0,0.18792755652072324,0.18792755652072324
gradual,201,Cold,0.6,1.9999999999999998,0.9953709321854538,2.1953709321854538
gradual,201,Combined,0.6,0.0,0.18792755652072324,0.18792755652072324
gradual,202,Cold,0.0,7.000000000000001,0.0,0.0
gradual,202,Combined,0.0,6.599999999999999,0.0,0.0
gradual,202,Cold,0.15,2.0,0.0,0.3
gradual,202,Combined,0.15,6.599999999999999,0.0,0.9899999999999998
gradual,202,Cold,0.3,1.6,0.0,0.48
gradual,202,Combined,0.3,6.599999999999999,0.0,1.9799999999999995
gradual,202,Cold,0.6,3.0,0.0,1.8000000000000003
gradual,202,Combined,0.6,0.0,0.0,0.0
gradual,203,Cold,0.0,7.0,0.0,0.0
gradual,203,Combined,0.0,8.799999999999999,0.0,0.0
gradual,203,Cold,0.15,1.9999999999999998,0.15086781433434088,0.45086781433434087
gradual,203,Combined,0.15,8.4,0.0,1.2600000000000002
gradual,203,Cold,0.3,1.6,0.12877570377448025,0.6087757037744802
gradual,203,Combined,0.3,7.8,0.12006996556732902,2.460069965567329
gradual,203,Cold,0.6,0.6000000000000001,0.6458744879100329,1.005874487910033
gradual,203,Combined,0.6,7.399999999999999,0.32642839784708494,4.7664283978470845
gradual,204,Cold,0.0,5.3999999999999995,0.6112967878019564,0.6112967878019564
gradual,204,Combined,0.0,0.2,0.2284534541630663,0.2284534541630663
gradual,204,Cold,0.15,4.2,0.5036969802832127,1.1336969802832129
gradual,204,Combined,0.15,0.4,0.3353582238888083,0.39535822388880826
gradual,204,Cold,0.3,2.6,0.773978338958286,1.553978338958286
gradual,204,Combined,0.3,0.2,0.377329146307646,0.43732914630764597
gradual,204,Cold,0.6,2.4000000000000004,0.7513721754308519,2.191372175430852
gradual,204,Combined,0.6,0.2,0.377329146307646,0.497329146307646
sudden,301,Cold,0.0,6.799999999999999,0.9322121161850558,0.9322121161850558
sudden,301,Combined,0.0,0.2,0.6910976106687312,0.6910976106687312
sudden,301,Cold,0.15,4.2,0.7316621580120705,1.3616621580120705
sudden,301,Combined,0.15,0.2,0.5862715227542259,0.6162715227542259
sudden,301,Cold,0.3,3.0,0.8800677140662587,1.7800677140662589
sudden,301,Combined,0.3,0.2,0.6258911108266062,0.6858911108266063
sudden,301,Cold,0.6,1.2000000000000002,1.0103209631537597,1.7303209631537593
sudden,301,Combined,0.6,0.0,0.9360274844781833,0.9360274844781833
sudden,302,Cold,0.0,7.0,0.5798634342846132,0.5798634342846132
sudden,302,Combined,0.0,7.999999999999999,0.5040659860756711,0.5040659860756711
sudden,302,Cold,0.15,1.0,0.6956282581916315,0.8456282581916315
sudden,302,Combined,0.15,7.799999999999999,0.5623344531902597,1.7323344531902596
sudden,302,Cold,0.3,0.6000000000000001,0.6269176273683545,0.8069176273683547
sudden,302,Combined,0.3,0.0,0.7478736851379957,0.7478736851379957
sudden,302,Cold,0.6,0.8,1.0180696035201435,1.4980696035201435
sudden,302,Combined,0.6,0.0,0.7478736851379957,0.7478736851379957
sudden,303,Cold,0.0,6.599999999999999,0.40633870479661094,0.40633870479661094
sudden,303,Combined,0.0,0.4,0.7717482395173866,0.7717482395173866
sudden,303,Cold,0.15,3.2000000000000006,0.5733309819285899,1.0533309819285899
sudden,303,Combined,0.15,0.4,0.7717482395173866,0.8317482395173866
sudden,303,Cold,0.3,3.400000000000001,0.6364300258189697,1.6564300258189695
sudden,303,Combined,0.3,0.4,0.7717482395173866,0.8917482395173865
sudden,303,Cold,0.6,2.0,1.6761226405851497,2.87612264058515
sudden,303,Combined,0.6,0.2,1.6080411495495883,1.7280411495495884
sudden,304,Cold,0.0,6.800000000000001,0.9859902391412015,0.9859902391412015
sudden,304,Combined,0.0,7.599999999999998,0.792608294004228,0.792608294004228
sudden,304,Cold,0.15,3.6,0.879531057739759,1.4195310577397593
sudden,304,Combined,0.15,7.799999999999999,0.9084239863960633,2.0784239863960634
sudden,304,Cold,0.3,2.8,1.252270923920733,2.092270923920733
sudden,304,Combined,0.3,7.799999999999999,1.032083559030023,3.3720835590300227
sudden,304,Cold,0.6,2.2,1.4321103700347773,2.752110370034777
sudden,304,Combined,0.6,0.4,1.4872492015170649,1.7272492015170648
continuous_sudden,401,Cold,0.0,9.0,0.07754783547653994,0.07754783547653994
continuous_sudden,401,Combined,0.0,0.8,0.08470114576636353,0.08470114576636353
continuous_sudden,401,Cold,0.15,2.5999999999999996,0.2777627668469233,0.6677627668469235
continuous_sudden,401,Combined,0.15,0.4,0.08470114576636353,0.14470114576636353
continuous_sudden,401,Cold,0.3,2.4,0.2091331007848738,0.9291331007848738
continuous_sudden,401,Combined,0.3,0.4,0.08470114576636353,0.20470114576636353
continuous_sudden,401,Cold,0.6,1.8,0.4771180692723924,1.5571180692723923
continuous_sudden,401,Combined,0.6,0.4,0.08470114576636353,0.32470114576636355
continuous_sudden,402,Cold,0.0,5.2,0.08528586183460961,0.08528586183460961
