regime,seed,method,snapshot_t,delta,gain_vs_cold
stationary,101,Param,1,0.0,0.0
stationary,101,State,1,0.0,-0.09657246358289737
stationary,101,Combined,1,0.0,-0.06
stationary,101,Param,2,0.0,0.0
stationary,101,State,2,0.0,-0.06
stationary,101,Combined,2,0.0,0.0
stationary,101,Param,3,0.0,-0.12
stationary,101,State,3,0.0,0.18
stationary,101,Combined,3,0.0,0.18
stationary,101,Param,4,0.0,0.0
stationary,101,State,4,0.0,0.0
stationary,101,Combined,4,0.0,0.0
stationary,101,Param,5,0.0,0.15711018025563694
stationary,101,State,5,0.0,0.4503548262385949
stationary,101,Combined,5,0.0,0.4503548262385949
stationary,101,Param,6,0.0,0.06
stationary,101,State,6,0.0,0.12
stationary,101,Combined,6,0.0,0.12
stationary,101,Param,7,0.0,0.0
stationary,101,State,7,0.0,0.0
stationary,101,Combined,7,0.0,0.0
stationary,101,Param,8,0.0,0.0
stationary,101,State,8,0.0,0.0
stationary,101,Combined,8,0.0,0.0
stationary,101,Param,9,0.0,0.0
stationary,101,State,9,0.0,0.0
stationary,101,Combined,9,0.0,0.0
stationary,101,Param,10,0.0,0.0
stationary,101,State,10,0.0,0.0
stationary,101,Combined,10,0.0,0.0
stationary,101,Param,11,0.0,0.0
stationary,101,State,11,0.0,0.0
stationary,101,Combined,11,0.0,0.0
stationary,102,Param,1,0.0,0.0
stationary,102,State,1,0.0,0.0
stationary,102,Combined,1,0.0,0.0
stationary,102,Param,2,0.0,0.0
stationary,102,State,2,0.0,0.0
stationary,102,Combined,2,0.0,0.0
stationary,102,Param,3,0.0,-0.037215245203236325
stationary,102,State,3,0.0,0.3160294007797217
stationary,102,Combined,3,0.0,0.3160294007797217
stationary,102,Param,4,0.0,-0.34513320891449334
stationary,102,State,4,0.0,0.06
stationary,102,Combined,4,0.0,0.06
stationary,102,Param,5,0.0,-0.16513320891449332
stationary,102,State,5,0.0,0.0
stationary,102,Combined,5,0.0,0.0
stationary,102,Param,6,0.0,0.12
stationary,102,State,6,0.0,0.18
stationary,102,Combined,6,0.0,0.18
stationary,102,Param,7,0.0,0.06
stationary,102,State,7,0.0,0.2784470222886604
stationary,102,Combined,7,0.0,0.2784470222886604
stationary,102,Param,8,0.0,0.09844702228866042
stationary,102,State,8,0.0,0.15844702228866042
stationary,102,Combined,8,0.0,0.15844702228866042
stationary,102,Param,9,0.0,0.0
stationary,102,State,9,0.0,0.18
stationary,102,Combined,9,0.0,0.18
stationary,102,Param,10,0.0,0.0
stationary,102,State,10,0.0,0.0
stationary,102,Combined,10,0.0,0.0
stationary,102,Param,11,0.0,0.0
stationary,102,State,11,0.0,0.0
stationary,102,Combined,11,0.0,0.0
gradual,201,Param,1,0.05790101207497034,0.0
gradual,201,State,1,0.05790101207497034,0.0
gradual,201,Combined,1,0.05790101207497034,0.0
gradual,201,Param,2,0.05497629363283278,-0.252970903419943
gradual,201,State,2,0.05497629363283278,0.0
gradual,201,Combined,2,0.05497629363283278,0.0
gradual,201,Param,3,0.08371174074969893,0.0
gradual,201,State,3,0.08371174074969893,0.18
gradual,201,Combined,3,0.08371174074969893,0.18
gradual,201,Param,4,0.11750191804047988,0.0
gradual,201,State,4,0.11750191804047988,0.0
gradual,201,Combined,4,0.11750191804047988,0.0
gradual,201,Param,5,0.1200381806720448,0.22509117099541653
gradual,201,State,5,0.1200381806720448,0.22509117099541653
gradual,201,Combined,5,0.1200381806720448,0.22509117099541653
gradual,201,Param,6,0.07184456856649539,0.06
gradual,201,State,6,0.07184456856649539,0.06
gradual,201,Combined,6,0.07184456856649539,0.06
gradual,201,Param,7,0.08267653608144296,0.0
gradual,201,State,7,0.08267653608144296,0.0
gradual,201,Combined,7,0.08267653608144296,0.0
gradual,201,Param,8,0.11585289154773083,-0.05838415251754758
gradual,201,State,8,0.11585289154773083,0.2701580033471106
gradual,201,Combined,8,0.11585289154773083,0.2701580033471106
gradual,201,Param,9,0.0744767277536755,0.12000000000000002
gradual,201,State,9,0.0744767277536755,0.36392430810251486
gradual,201,Combined,9,0.0744767277536755,0.36392430810251486
gradual,201,Param,10,0.09611645599736146,0.0
gradual,201,State,10,0.09611645599736146,0.18
gradual,201,Combined,10,0.09611645599736146,0.18
gradual,201,Param,11,0.051510007573272606,-0.13420489961326243
gradual,201,State,11,0.051510007573272606,0.0
gradual,201,Combined,11,0.051510007573272606,0.0
gradual,202,Param,1,0.084690013974848,0.0
gradual,202,State,1,0.084690013974848,0.0
gradual,202,Combined,1,0.084690013974848,-0.18
gradual,202,Param,2,0.04933221355127016,0.0
gradual,202,State,2,0.04933221355127016,0.0
gradual,202,Combined,2,0.04933221355127016,-0.18
gradual,202,Param,3,0.10338398147086438,0.0
gradual,202,State,3,0.10338398147086438,0.0
gradual,202,Combined,3,0.10338398147086438,-0.18
gradual,202,Param,4,0.184893344535295,0.0
gradual,202,State,4,0.184893344535295,0.0
gradual,202,Combined,4,0.184893344535295,-0.18
gradual,202,Param,5,0.11269078466386238,0.0
gradual,202,State,5,0.11269078466386238,0.0
gradual,202,Combined,5,0.11269078466386238,-0.18
gradual,202,Param,6,0.10737152613737747,-0.12
gradual,202,State,6,0.10737152613737747,-0.12
gradual,202,Combined,6,0.10737152613737747,-0.12
gradual,202,Param,7,0.04942503938565455,0.0
gradual,202,State,7,0.04942503938565455,0.18
gradual,202,Combined,7,0.04942503938565455,0.0
gradual,202,Param,8,0.0441216815325701,-0.06
gradual,202,State,8,0.0441216815325701,0.24
gradual,202,Combined,8,0.0441216815325701,0.06
gradual,202,Param,9,0.02324678356560088,0.0
gradual,202,State,9,0.02324678356560088,0.0
gradual,202,Combined,9,0.02324678356560088,-0.18
gradual,202,Param,10,0.07730608633765626,-0.06
gradual,202,State,10,0.07730608633765626,0.0
gradual,202,Combined,10,0.07730608633765626,-0.18
gradual,202,Param,11,0.05373059990387062,0.0
gradual,202,State,11,0.05373059990387062,0.0
gradual,202,Combined,11,0.05373059990387062,-0.18
gradual,203,Param,1,0.046468866499842644,0.0
gradual,203,State,1,0.046468866499842644,0.0
gradual,203,Combined,1,0.046468866499842644,-0.24
gradual,203,Param,2,0.14492270983515657,0.0
gradual,203,State,2,0.14492270983515657,0.0
gradual,203,Combined,2,0.14492270983515657,-0.24
gradual,203,Param,3,0.19182734232194484,-0.06
gradual,203,State,3,0.19182734232194484,0.18
gradual,203,Combined,3,0.19182734232194484,0.0
gradual,203,Param,4,0.052721632471403095,-0.12
gradual,203,State,4,0.052721632471403095,0.0
gradual,203,Combined,4,0.052721632471403095,-0.18
gradual,203,Param,5,0.10758557789060247,0.06
gradual,203,State,5,0.10758557789060247,0.06
gradual,203,Combined,5,0.10758557789060247,-0.18
gradual,203,Param,6,0.07732365050631303,0.0
gradual,203,State,6,0.07732365050631303,0.0
gradual,203,Combined,6,0.07732365050631303,-0.24
gradual,203,Param,7,0.11602616051961202,0.0
gradual,203,State,7,0.11602616051961202,0.0
gradual,203,Combined,7,0.11602616051961202,-0.18
gradual,203,Param,8,0.16550692809662704,0.0
gradual,203,State,8,0.16550692809662704,0.0
gradual,203,Combined,8,0.16550692809662704,-0.240069965567329
gradual,203,Param,9,0.06431758203739493,0.24877570377448024
gradual,203,State,9,0.06431758203739493,0.24877570377448024
gradual,203,Combined,9,0.06431758203739493,0.008775703774480254
gradual,203,Param,10,0.09105830329774345,0.12
gradual,203,State,10,0.09105830329774345,0.12
gradual,203,Combined,10,0.09105830329774345,-0.12
gradual,203,Param,11,0.056051301643432125,-0.18
gradual,203,State,11,0.056051301643432125,0.0
gradual,203,Combined,11,0.056051301643432125,-0.24
gradual,204,Param,1,0.059148980794576915,0.0
gradual,204,State,1,0.059148980794576915,-0.08887569214457969
gradual,204,Combined,1,0.059148980794576915,-0.08887569214457969
gradual,204,Param,2,0.04639708242502142,0.0
gradual,204,State,2,0.04639708242502142,-0.12
gradual,204,Combined,2,0.04639708242502142,-0.06
gradual,204,Param,3,0.0448791500690961,0.0
gradual,204,State,3,0.0448791500690961,0.0
gradual,204,Combined,3,0.0448791500690961,0.0
gradual,204,Param,4,0.03511265319677388,-0.04044782582510659
gradual,204,State,4,0.03511265319677388,0.2476784448741311
gradual,204,Combined,4,0.03511265319677388,0.2476784448741311
gradual,204,Param,5,0.06768430332036114,0.065662641951923
gradual,204,State,5,0.06768430332036114,0.125662641951923
gradual,204,Combined,5,0.06768430332036114,0.125662641951923
gradual,204,Param,6,0.06545602645290825,0.24
gradual,204,State,6,0.06545602645290825,0.24
gradual,204,Combined,6,0.06545602645290825,0.24
gradual,204,Param,7,0.09710792321470613,0.0
gradual,204,State,7,0.09710792321470613,0.0
