regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.3262457919772714
stationary,101,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.3262457919772714
stationary,101,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.3262457919772714
stationary,101,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.3262457919772714
stationary,101,Cold,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50618540154351,0.0,1.0,0.0078125,6,256,102,113,1.258510000014212
stationary,101,Param,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299038874856492,0.0,1.0,0.00390625,6,256,102,113,1.2349893749924377
stationary,101,State,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05383769970967244,0.0,1.0,0.81640625,6,256,102,113,1.2535105000133626
stationary,101,Combined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04857151674894243,0.0,1.0,0.82421875,6,256,102,113,1.2480847499682568
stationary,101,Cold,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355142825956571,0.0,1.0,0.00390625,6,256,102,113,1.4252284999820404
stationary,101,Param,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135302834294173,0.0,1.0,0.00390625,6,256,102,113,1.2679955000057817
stationary,101,State,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865172840263049,0.0,1.0,0.69921875,6,256,102,113,1.2427782090380788
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037618144736706162,0.0,1.0,0.984375,6,256,102,113,1.1443469589576125
stationary,101,Cold,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002814940988365138,0.0,1.0,0.9921875,6,256,102,113,1.2964438750059344
stationary,101,Param,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013917538354705992,0.0,1.0,0.95703125,6,256,102,113,1.2345597499515861
stationary,101,State,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00380462735598766,0.0,1.0,0.98828125,6,256,102,113,1.9916372079751454
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008225517896017951,0.0,1.0,0.99609375,6,256,102,113,1.11137358302949
