regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
stationary,101,Cold,Cold,1.0790139791606073,0.5390139791606072,1.8,0.0,1.0790139791606073,0.0,1.0,0.09375,0.43832527105260105,102.0,112.66666666666667,15.204095875029452
stationary,101,Param,Parameter Transfer,0.6674650064942319,0.30746500649423186,1.2,0.0,0.6674650064942319,0.41154897266637536,1.0,0.0859375,0.4619537416748675,102.0,112.66666666666667,14.881670041009784
stationary,101,State,State Warm Start,0.0,0.0,0.0,0.0,0.0,1.0790139791606073,1.0,0.76953125,0.06976718915831247,102.0,112.91666666666667,17.262138499994762
stationary,101,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.0790139791606073,1.0,0.8896484375,0.02449423872834619,102.0,112.91666666666667,13.367984042910393
gradual,201,Cold,Cold,1.3038537085798756,0.5238537085798758,2.6000000000000005,0.18792755652072324,1.1159261520591524,0.0,1.0,0.007486979166666667,0.45136153608910173,107.0,112.0,13.68011979199946
gradual,201,Param,Parameter Transfer,0.6079275565207232,0.18792755652072324,1.4,0.18792755652072324,0.41999999999999993,0.6959261520591524,1.0,0.016927083333333332,0.4581849234824719,107.0,112.0,13.563519207993522
gradual,201,State,State Warm Start,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.1159261520591524,1.0,0.7626953125,0.07514775226352326,107.0,112.41666666666667,13.286317290912848
gradual,201,Combined,Combined,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.1159261520591524,1.0,0.7262369791666666,0.08297817272594897,107.0,112.41666666666667,13.788336248951964
sudden,304,Cold,Cold,2.111292192315603,1.0912921923156031,3.4,0.8526082940042281,1.258683898311375,0.0,1.0,0.09147135416666667,0.4556313738476418,106.0,110.91666666666667,13.952501663938165
sudden,304,Param,Parameter Transfer,1.8659858851546878,1.0259858851546877,2.8000000000000007,0.8526082940042281,1.0133775911504597,0.2453063071609154,1.0,0.07096354166666667,0.4836533039803548,106.0,110.91666666666667,13.723361039010342
sudden,304,State,State Warm Start,1.0388484984071114,1.0388484984071114,0.0,0.8526082940042281,0.18624020440288325,1.0724436939084918,1.0,0.8844401041666666,0.11983242504376752,106.0,110.83333333333333,13.626893206965178
sudden,304,Combined,Combined,2.576440808440515,0.8364408084405146,5.8,0.8526082940042281,1.7238325144362867,-0.46514861612491165,1.0,0.439453125,0.2869208079298046,106.0,110.83333333333333,13.510331415047403
continuous_sudden,401,Cold,Cold,0.72,0.0,2.4000000000000004,0.06,0.6599999999999999,0.0,1.0,0.0927734375,0.45973249334255345,88.0,105.25,13.388666125072632
continuous_sudden,401,Param,Parameter Transfer,0.47761206267937967,0.11761206267937967,1.2,0.06,0.41761206267937967,0.2423879373206203,1.0,0.09537760416666667,0.45325975697854354,88.0,105.25,13.424135705048684
continuous_sudden,401,State,State Warm Start,0.28620741758170565,0.16620741758170565,0.4,0.06,0.22620741758170565,0.4337925824182943,1.0,0.5787760416666666,0.1590975556131814,88.0,104.83333333333333,13.539803542138543
continuous_sudden,401,Combined,Combined,0.06,0.0,0.2,0.06,0.0,0.6599999999999999,1.0,0.8802083333333334,0.0239947873602822,88.0,104.83333333333333,13.431895835034084
