scenario,seed,snapshot_t,method,evaluation,objective_value,best_so_far_cost
gradual,201,4,Cold,1,0.5902038657229763,0.5902038657229763
gradual,201,4,Cold,2,0.7199785056195289,0.5902038657229763
gradual,201,4,Cold,3,0.6639722550357019,0.5902038657229763
gradual,201,4,Cold,4,0.7199785056195289,0.5902038657229763
gradual,201,4,Cold,5,0.6010619615487098,0.5902038657229763
gradual,201,4,Param,1,0.4732609755295058,0.4732609755295058
gradual,201,4,Param,2,0.5802578589204392,0.4732609755295058
gradual,201,4,Param,3,0.513842910416222,0.4732609755295058
gradual,201,4,Param,4,0.568254786691578,0.4732609755295058
gradual,201,4,Param,5,0.7066419518941387,0.4732609755295058
gradual,201,4,State,1,0.3161311983789592,0.3161311983789592
gradual,201,4,State,2,0.16117496942405768,0.16117496942405768
gradual,201,4,State,3,0.17752891477526872,0.16117496942405768
gradual,201,4,State,4,0.26195315841472333,0.16117496942405768
gradual,201,4,State,5,0.2287957049546795,0.16117496942405768
gradual,201,4,Combined,1,0.16117496942405768,0.16117496942405768
gradual,201,4,Combined,2,0.2226892415612815,0.16117496942405768
gradual,201,4,Combined,3,0.16117496942405768,0.16117496942405768
gradual,201,4,Combined,4,0.32684491187372944,0.16117496942405768
gradual,201,4,Combined,5,0.507352772203113,0.16117496942405768
sudden,304,5,Cold,1,0.45951729136717023,0.45951729136717023
sudden,304,5,Cold,2,0.4770994290917838,0.45951729136717023
sudden,304,5,Cold,3,0.4907243729711731,0.45951729136717023
sudden,304,5,Cold,4,0.5047211906636214,0.45951729136717023
sudden,304,5,Cold,5,0.5041522208021572,0.45951729136717023
sudden,304,5,Param,1,0.5673098153916201,0.5673098153916201
sudden,304,5,Param,2,0.552662512606679,0.552662512606679
sudden,304,5,Param,3,0.44981132415083064,0.44981132415083064
sudden,304,5,Param,4,0.5021364598447168,0.44981132415083064
sudden,304,5,Param,5,0.4949161785227808,0.44981132415083064
sudden,304,5,State,1,0.5922212363373217,0.5922212363373217
sudden,304,5,State,2,0.4891397355969407,0.4891397355969407
sudden,304,5,State,3,0.5303530803628347,0.4891397355969407
sudden,304,5,State,4,0.4655268605366363,0.4655268605366363
sudden,304,5,State,5,0.5341432770125834,0.4655268605366363
sudden,304,5,Combined,1,0.25391370731825186,0.25391370731825186
sudden,304,5,Combined,2,0.38971630026337883,0.25391370731825186
sudden,304,5,Combined,3,0.25391370731825186,0.25391370731825186
sudden,304,5,Combined,4,0.3103917878576631,0.25391370731825186
sudden,304,5,Combined,5,0.4447217556892201,0.25391370731825186
continuous_sudden,401,5,Cold,1,0.566625481033838,0.566625481033838
continuous_sudden,401,5,Cold,2,0.6099353864794188,0.566625481033838
continuous_sudden,401,5,Cold,3,0.5705042658585394,0.566625481033838
continuous_sudden,401,5,Cold,4,0.5568255551835222,0.5568255551835222
continuous_sudden,401,5,Cold,5,0.557871021923847,0.5568255551835222
continuous_sudden,401,5,Param,1,0.4784670288207312,0.4784670288207312
continuous_sudden,401,5,Param,2,0.5177502204601765,0.4784670288207312
continuous_sudden,401,5,Param,3,0.6340268202183531,0.4784670288207312
continuous_sudden,401,5,Param,4,0.5123803540103717,0.4784670288207312
continuous_sudden,401,5,Param,5,0.5781624527161884,0.4784670288207312
continuous_sudden,401,5,State,1,0.48138311458589816,0.48138311458589816
continuous_sudden,401,5,State,2,0.22357937561129762,0.22357937561129762
continuous_sudden,401,5,State,3,0.22608038786845075,0.22357937561129762
continuous_sudden,401,5,State,4,0.20158685269685273,0.20158685269685273
continuous_sudden,401,5,State,5,0.4908689368352079,0.20158685269685273
continuous_sudden,401,5,Combined,1,0.2850053162266116,0.2850053162266116
continuous_sudden,401,5,Combined,2,0.5396781321837653,0.2850053162266116
continuous_sudden,401,5,Combined,3,0.273735893487004,0.273735893487004
continuous_sudden,401,5,Combined,4,0.5672609735195175,0.273735893487004
continuous_sudden,401,5,Combined,5,0.3612380246163118,0.273735893487004
