regime,seed,method,snapshot_t,user,channel
stationary,101,Cold,0,0,0
stationary,101,Cold,0,1,0
stationary,101,Cold,0,2,2
stationary,101,Cold,0,3,1
stationary,101,Cold,0,4,0
stationary,101,Cold,1,0,0
stationary,101,Cold,1,1,0
stationary,101,Cold,1,2,1
stationary,101,Cold,1,3,2
stationary,101,Cold,1,4,0
stationary,101,Cold,2,0,0
stationary,101,Cold,2,1,2
stationary,101,Cold,2,2,1
stationary,101,Cold,2,3,2
stationary,101,Cold,2,4,0
stationary,101,Cold,3,0,2
stationary,101,Cold,3,1,0
stationary,101,Cold,3,2,1
stationary,101,Cold,3,3,2
stationary,101,Cold,3,4,0
stationary,101,Cold,4,0,2
stationary,101,Cold,4,1,0
stationary,101,Cold,4,2,1
stationary,101,Cold,4,3,2
stationary,101,Cold,4,4,0
stationary,101,Cold,5,0,1
stationary,101,Cold,5,1,0
stationary,101,Cold,5,2,1
stationary,101,Cold,5,3,2
stationary,101,Cold,5,4,0
stationary,101,Param,0,0,0
stationary,101,Param,0,1,0
stationary,101,Param,0,2,2
stationary,101,Param,0,3,1
stationary,101,Param,0,4,0
stationary,101,Param,1,0,0
stationary,101,Param,1,1,2
stationary,101,Param,1,2,2
stationary,101,Param,1,3,1
stationary,101,Param,1,4,0
stationary,101,Param,2,0,0
stationary,101,Param,2,1,1
stationary,101,Param,2,2,2
stationary,101,Param,2,3,0
stationary,101,Param,2,4,0
stationary,101,Param,3,0,0
stationary,101,Param,3,1,2
stationary,101,Param,3,2,1
stationary,101,Param,3,3,0
stationary,101,Param,3,4,0
stationary,101,Param,4,0,2
stationary,101,Param,4,1,2
stationary,101,Param,4,2,1
stationary,101,Param,4,3,0
stationary,101,Param,4,4,2
stationary,101,Param,5,0,1
stationary,101,Param,5,1,1
stationary,101,Param,5,2,0
stationary,101,Param,5,3,2
stationary,101,Param,5,4,1
stationary,101,State,0,0,0
stationary,101,State,0,1,0
stationary,101,State,0,2,2
stationary,101,State,0,3,1
stationary,101,State,0,4,0
stationary,101,State,1,0,1
stationary,101,State,1,1,0
stationary,101,State,1,2,2
stationary,101,State,1,3,1
stationary,101,State,1,4,0
stationary,101,State,2,0,1
stationary,101,State,2,1,0
stationary,101,State,2,2,2
stationary,101,State,2,3,1
stationary,101,State,2,4,0
stationary,101,State,3,0,1
stationary,101,State,3,1,0
stationary,101,State,3,2,2
stationary,101,State,3,3,1
stationary,101,State,3,4,0
stationary,101,State,4,0,1
stationary,101,State,4,1,0
stationary,101,State,4,2,2
stationary,101,State,4,3,1
stationary,101,State,4,4,0
stationary,101,State,5,0,1
stationary,101,State,5,1,0
stationary,101,State,5,2,2
stationary,101,State,5,3,1
stationary,101,State,5,4,0
stationary,101,Combined,0,0,0
stationary,101,Combined,0,1,0
stationary,101,Combined,0,2,2
stationary,101,Combined,0,3,1
stationary,101,Combined,0,4,0
stationary,101,Combined,1,0,1
stationary,101,Combined,1,1,0
stationary,101,Combined,1,2,2
stationary,101,Combined,1,3,1
stationary,101,Combined,1,4,0
stationary,101,Combined,2,0,1
stationary,101,Combined,2,1,0
stationary,101,Combined,2,2,2
stationary,101,Combined,2,3,1
