regime,seed,snapshot_t,u,v,weight
stationary,101,0,0,1,0.3100485105087172
stationary,101,0,0,2,0.49989670488475696
stationary,101,0,0,3,0.0
stationary,101,0,0,4,0.0
stationary,101,0,1,2,0.5058817018547245
stationary,101,0,1,3,0.5073893126857697
stationary,101,0,1,4,0.0
stationary,101,0,2,3,0.5272290229992804
stationary,101,0,2,4,0.48074274278200635
stationary,101,0,3,4,0.3615618230516569
stationary,101,1,0,1,0.3100485105087172
stationary,101,1,0,2,0.49989670488475696
stationary,101,1,0,3,0.0
stationary,101,1,0,4,0.0
stationary,101,1,1,2,0.5058817018547245
stationary,101,1,1,3,0.5073893126857697
stationary,101,1,1,4,0.0
stationary,101,1,2,3,0.5272290229992804
stationary,101,1,2,4,0.48074274278200635
stationary,101,1,3,4,0.3615618230516569
stationary,101,2,0,1,0.3100485105087172
stationary,101,2,0,2,0.49989670488475696
stationary,101,2,0,3,0.0
stationary,101,2,0,4,0.0
stationary,101,2,1,2,0.5058817018547245
stationary,101,2,1,3,0.5073893126857697
stationary,101,2,1,4,0.0
stationary,101,2,2,3,0.5272290229992804
stationary,101,2,2,4,0.48074274278200635
stationary,101,2,3,4,0.3615618230516569
stationary,101,3,0,1,0.3100485105087172
stationary,101,3,0,2,0.49989670488475696
stationary,101,3,0,3,0.0
stationary,101,3,0,4,0.0
stationary,101,3,1,2,0.5058817018547245
stationary,101,3,1,3,0.5073893126857697
stationary,101,3,1,4,0.0
stationary,101,3,2,3,0.5272290229992804
stationary,101,3,2,4,0.48074274278200635
stationary,101,3,3,4,0.3615618230516569
stationary,101,4,0,1,0.3100485105087172
stationary,101,4,0,2,0.49989670488475696
stationary,101,4,0,3,0.0
stationary,101,4,0,4,0.0
stationary,101,4,1,2,0.5058817018547245
stationary,101,4,1,3,0.5073893126857697
stationary,101,4,1,4,0.0
stationary,101,4,2,3,0.5272290229992804
stationary,101,4,2,4,0.48074274278200635
stationary,101,4,3,4,0.3615618230516569
stationary,101,5,0,1,0.3100485105087172
stationary,101,5,0,2,0.49989670488475696
stationary,101,5,0,3,0.0
stationary,101,5,0,4,0.0
stationary,101,5,1,2,0.5058817018547245
stationary,101,5,1,3,0.5073893126857697
stationary,101,5,1,4,0.0
stationary,101,5,2,3,0.5272290229992804
stationary,101,5,2,4,0.48074274278200635
stationary,101,5,3,4,0.3615618230516569
gradual,201,0,0,1,0.3100485105087172
gradual,201,0,0,2,0.49989670488475696
gradual,201,0,0,3,0.0
gradual,201,0,0,4,0.0
gradual,201,0,1,2,0.5058817018547245
gradual,201,0,1,3,0.5073893126857697
gradual,201,0,1,4,0.0
gradual,201,0,2,3,0.5272290229992804
gradual,201,0,2,4,0.48074274278200635
gradual,201,0,3,4,0.3615618230516569
gradual,201,1,0,1,0.3353061086120613
gradual,201,1,0,2,0.5223296634745302
gradual,201,1,0,3,0.0
gradual,201,1,0,4,0.0
gradual,201,1,1,2,0.38275216052981864
gradual,201,1,1,3,0.4300229443445096
gradual,201,1,1,4,0.0
gradual,201,1,2,3,0.5632439224795469
gradual,201,1,2,4,0.519816671050591
gradual,201,1,3,4,0.3219061921154355
gradual,201,2,0,1,0.28101380291750666
gradual,201,2,0,2,0.5243677331616378
gradual,201,2,0,3,0.0
gradual,201,2,0,4,0.0
gradual,201,2,1,2,0.37951454615446534
gradual,201,2,1,3,0.32960352626566436
gradual,201,2,1,4,0.0
gradual,201,2,2,3,0.450302864414511
gradual,201,2,2,4,0.5701392091878841
gradual,201,2,3,4,0.3191755440025098
gradual,201,3,0,1,0.271046650762915
gradual,201,3,0,2,0.5728437576841208
gradual,201,3,0,3,0.0
gradual,201,3,0,4,0.2648431203466759
gradual,201,3,1,2,0.43440739290645103
gradual,201,3,1,3,0.3251919620907253
gradual,201,3,1,4,0.0
gradual,201,3,2,3,0.4938701534150274
gradual,201,3,2,4,0.5046571172754927
gradual,201,3,3,4,0.33444544055584013
gradual,201,4,0,1,0.0
gradual,201,4,0,2,0.514935989620602
gradual,201,4,0,3,0.0
gradual,201,4,0,4,0.32766480572495965
gradual,201,4,1,2,0.42494469698583714
gradual,201,4,1,3,0.46424179480710326
gradual,201,4,1,4,0.0
gradual,201,4,2,3,0.6442911174847561
gradual,201,4,2,4,0.5249383930930067
gradual,201,4,3,4,0.2938712875707888
gradual,201,5,0,1,0.4104984157595438
gradual,201,5,0,2,0.6386503196095463
gradual,201,5,0,3,0.0
gradual,201,5,0,4,0.40623111635557607
gradual,201,5,1,2,0.45890109639187415
gradual,201,5,1,3,0.4640641977256138
gradual,201,5,1,4,0.0
gradual,201,5,2,3,0.5573235505671008
gradual,201,5,2,4,0.6147792691232205
gradual,201,5,3,4,0.3180225019898981
sudden,304,0,0,1,0.3100485105087172
sudden,304,0,0,2,0.49989670488475696
sudden,304,0,0,3,0.0
sudden,304,0,0,4,0.0
sudden,304,0,1,2,0.5058817018547245
sudden,304,0,1,3,0.5073893126857697
sudden,304,0,1,4,0.0
sudden,304,0,2,3,0.5272290229992804
sudden,304,0,2,4,0.48074274278200635
sudden,304,0,3,4,0.3615618230516569
sudden,304,1,0,1,0.3090666475441529
sudden,304,1,0,2,0.47238235921147537
sudden,304,1,0,3,0.0
sudden,304,1,0,4,0.0
sudden,304,1,1,2,0.5340419141967623
sudden,304,1,1,3,0.49045435448032126
sudden,304,1,1,4,0.0
sudden,304,1,2,3,0.523894787520834
sudden,304,1,2,4,0.40848415066467714
sudden,304,1,3,4,0.334766312732888
sudden,304,2,0,1,0.3104091971649723
sudden,304,2,0,2,0.5009597491341513
sudden,304,2,0,3,0.0
sudden,304,2,0,4,0.0
sudden,304,2,1,2,0.6037729296640466
sudden,304,2,1,3,0.4669417251650989
sudden,304,2,1,4,0.0
sudden,304,2,2,3,0.4603669504564485
sudden,304,2,2,4,0.4787577630022234
sudden,304,2,3,4,0.41463880533559994
sudden,304,3,0,1,0.0
sudden,304,3,0,2,0.5048733883899945
sudden,304,3,0,3,0.0
sudden,304,3,0,4,0.0
sudden,304,3,1,2,0.5377937746517332
sudden,304,3,1,3,0.4723193277057345
sudden,304,3,1,4,0.0
sudden,304,3,2,3,0.38890720534889545
sudden,304,3,2,4,0.5155906463612354
sudden,304,3,3,4,0.3521290946401182
sudden,304,4,0,1,0.0
sudden,304,4,0,2,0.540082187971934
sudden,304,4,0,3,0.0
sudden,304,4,0,4,0.2500676491610513
sudden,304,4,1,2,0.5880394737456902
sudden,304,4,1,3,0.5301664407400405
sudden,304,4,1,4,0.0
sudden,304,4,2,3,0.4241786612813965
sudden,304,4,2,4,0.42809535857930975
sudden,304,4,3,4,0.0
sudden,304,5,0,1,0.0
sudden,304,5,0,2,0.4900522387676488
sudden,304,5,0,3,0.0
sudden,304,5,0,4,0.5213890343125102
sudden,304,5,1,2,0.4983041876638066
sudden,304,5,1,3,0.49446061467253216
sudden,304,5,1,4,0.6062220284046633
sudden,304,5,2,3,0.4999146348706881
sudden,304,5,2,4,0.8604408524565946
sudden,304,5,3,4,0.4701387772132145
continuous_sudden,401,0,0,1,0.3100485105087172
continuous_sudden,401,0,0,2,0.49989670488475696
continuous_sudden,401,0,0,3,0.0
continuous_sudden,401,0,0,4,0.0
continuous_sudden,401,0,1,2,0.5058817018547245
continuous_sudden,401,0,1,3,0.5073893126857697
continuous_sudden,401,0,1,4,0.0
continuous_sudden,401,0,2,3,0.5272290229992804
continuous_sudden,401,0,2,4,0.48074274278200635
continuous_sudden,401,0,3,4,0.3615618230516569
