regime,seed,snapshot_t,u,v,weight
stationary,101,0,0,1,0.3100485105087172
stationary,101,0,0,2,0.49989670488475696
stationary,101,0,0,3,0.0
stationary,101,0,0,4,0.0
stationary,101,0,1,2,0.5058817018547245
stationary,101,0,1,3,0.5073893126857697
stationary,101,0,1,4,0.0
stationary,101,0,2,3,0.5272290229992804
stationary,101,0,2,4,0.48074274278200635
stationary,101,0,3,4,0.3615618230516569
stationary,101,1,0,1,0.3100485105087172
stationary,101,1,0,2,0.49989670488475696
stationary,101,1,0,3,0.0
stationary,101,1,0,4,0.0
stationary,101,1,1,2,0.5058817018547245
stationary,101,1,1,3,0.5073893126857697
stationary,101,1,1,4,0.0
stationary,101,1,2,3,0.5272290229992804
stationary,101,1,2,4,0.48074274278200635
stationary,101,1,3,4,0.3615618230516569
stationary,101,2,0,1,0.3100485105087172
stationary,101,2,0,2,0.49989670488475696
stationary,101,2,0,3,0.0
stationary,101,2,0,4,0.0
stationary,101,2,1,2,0.5058817018547245
stationary,101,2,1,3,0.5073893126857697
stationary,101,2,1,4,0.0
stationary,101,2,2,3,0.5272290229992804
stationary,101,2,2,4,0.48074274278200635
stationary,101,2,3,4,0.3615618230516569
stationary,101,3,0,1,0.3100485105087172
stationary,101,3,0,2,0.49989670488475696
stationary,101,3,0,3,0.0
stationary,101,3,0,4,0.0
stationary,101,3,1,2,0.5058817018547245
stationary,101,3,1,3,0.5073893126857697
stationary,101,3,1,4,0.0
stationary,101,3,2,3,0.5272290229992804
stationary,101,3,2,4,0.48074274278200635
stationary,101,3,3,4,0.3615618230516569
stationary,101,4,0,1,0.3100485105087172
stationary,101,4,0,2,0.49989670488475696
stationary,101,4,0,3,0.0
stationary,101,4,0,4,0.0
stationary,101,4,1,2,0.5058817018547245
stationary,101,4,1,3,0.5073893126857697
stationary,101,4,1,4,0.0
stationary,101,4,2,3,0.5272290229992804
stationary,101,4,2,4,0.48074274278200635
stationary,101,4,3,4,0.3615618230516569
stationary,101,5,0,1,0.3100485105087172
stationary,101,5,0,2,0.49989670488475696
stationary,101,5,0,3,0.0
stationary,101,5,0,4,0.0
stationary,101,5,1,2,0.5058817018547245
stationary,101,5,1,3,0.5073893126857697
stationary,101,5,1,4,0.0
stationary,101,5,2,3,0.5272290229992804
stationary,101,5,2,4,0.48074274278200635
stationary,101,5,3,4,0.3615618230516569
stationary,101,6,0,1,0.3100485105087172
stationary,101,6,0,2,0.49989670488475696
stationary,101,6,0,3,0.0
stationary,101,6,0,4,0.0
stationary,101,6,1,2,0.5058817018547245
stationary,101,6,1,3,0.5073893126857697
stationary,101,6,1,4,0.0
stationary,101,6,2,3,0.5272290229992804
stationary,101,6,2,4,0.48074274278200635
stationary,101,6,3,4,0.3615618230516569
stationary,101,7,0,1,0.3100485105087172
stationary,101,7,0,2,0.49989670488475696
stationary,101,7,0,3,0.0
stationary,101,7,0,4,0.0
stationary,101,7,1,2,0.5058817018547245
stationary,101,7,1,3,0.5073893126857697
stationary,101,7,1,4,0.0
stationary,101,7,2,3,0.5272290229992804
stationary,101,7,2,4,0.48074274278200635
stationary,101,7,3,4,0.3615618230516569
stationary,101,8,0,1,0.3100485105087172
stationary,101,8,0,2,0.49989670488475696
stationary,101,8,0,3,0.0
stationary,101,8,0,4,0.0
stationary,101,8,1,2,0.5058817018547245
stationary,101,8,1,3,0.5073893126857697
stationary,101,8,1,4,0.0
stationary,101,8,2,3,0.5272290229992804
stationary,101,8,2,4,0.48074274278200635
stationary,101,8,3,4,0.3615618230516569
stationary,101,9,0,1,0.3100485105087172
stationary,101,9,0,2,0.49989670488475696
stationary,101,9,0,3,0.0
stationary,101,9,0,4,0.0
stationary,101,9,1,2,0.5058817018547245
stationary,101,9,1,3,0.5073893126857697
stationary,101,9,1,4,0.0
stationary,101,9,2,3,0.5272290229992804
stationary,101,9,2,4,0.48074274278200635
stationary,101,9,3,4,0.3615618230516569
stationary,101,10,0,1,0.3100485105087172
stationary,101,10,0,2,0.49989670488475696
stationary,101,10,0,3,0.0
stationary,101,10,0,4,0.0
stationary,101,10,1,2,0.5058817018547245
stationary,101,10,1,3,0.5073893126857697
stationary,101,10,1,4,0.0
stationary,101,10,2,3,0.5272290229992804
stationary,101,10,2,4,0.48074274278200635
stationary,101,10,3,4,0.3615618230516569
stationary,101,11,0,1,0.3100485105087172
stationary,101,11,0,2,0.49989670488475696
stationary,101,11,0,3,0.0
stationary,101,11,0,4,0.0
stationary,101,11,1,2,0.5058817018547245
stationary,101,11,1,3,0.5073893126857697
stationary,101,11,1,4,0.0
stationary,101,11,2,3,0.5272290229992804
stationary,101,11,2,4,0.48074274278200635
stationary,101,11,3,4,0.3615618230516569
gradual,201,0,0,1,0.3100485105087172
gradual,201,0,0,2,0.49989670488475696
gradual,201,0,0,3,0.0
gradual,201,0,0,4,0.0
gradual,201,0,1,2,0.5058817018547245
gradual,201,0,1,3,0.5073893126857697
gradual,201,0,1,4,0.0
gradual,201,0,2,3,0.5272290229992804
gradual,201,0,2,4,0.48074274278200635
gradual,201,0,3,4,0.3615618230516569
gradual,201,1,0,1,0.3353061086120613
gradual,201,1,0,2,0.5223296634745302
gradual,201,1,0,3,0.0
gradual,201,1,0,4,0.0
gradual,201,1,1,2,0.38275216052981864
gradual,201,1,1,3,0.4300229443445096
gradual,201,1,1,4,0.0
gradual,201,1,2,3,0.5632439224795469
gradual,201,1,2,4,0.519816671050591
gradual,201,1,3,4,0.3219061921154355
gradual,201,2,0,1,0.28101380291750666
gradual,201,2,0,2,0.5243677331616378
gradual,201,2,0,3,0.0
gradual,201,2,0,4,0.0
gradual,201,2,1,2,0.37951454615446534
gradual,201,2,1,3,0.32960352626566436
gradual,201,2,1,4,0.0
gradual,201,2,2,3,0.450302864414511
gradual,201,2,2,4,0.5701392091878841
gradual,201,2,3,4,0.3191755440025098
gradual,201,3,0,1,0.271046650762915
gradual,201,3,0,2,0.5728437576841208
gradual,201,3,0,3,0.0
gradual,201,3,0,4,0.2648431203466759
gradual,201,3,1,2,0.43440739290645103
gradual,201,3,1,3,0.3251919620907253
gradual,201,3,1,4,0.0
gradual,201,3,2,3,0.4938701534150274
gradual,201,3,2,4,0.5046571172754927
gradual,201,3,3,4,0.33444544055584013
gradual,201,4,0,1,0.0
gradual,201,4,0,2,0.514935989620602
gradual,201,4,0,3,0.0
gradual,201,4,0,4,0.32766480572495965
gradual,201,4,1,2,0.42494469698583714
gradual,201,4,1,3,0.46424179480710326
gradual,201,4,1,4,0.0
gradual,201,4,2,3,0.6442911174847561
gradual,201,4,2,4,0.5249383930930067
gradual,201,4,3,4,0.2938712875707888
gradual,201,5,0,1,0.4104984157595438
gradual,201,5,0,2,0.6386503196095463
gradual,201,5,0,3,0.0
gradual,201,5,0,4,0.40623111635557607
gradual,201,5,1,2,0.45890109639187415
gradual,201,5,1,3,0.4640641977256138
gradual,201,5,1,4,0.0
gradual,201,5,2,3,0.5573235505671008
gradual,201,5,2,4,0.6147792691232205
gradual,201,5,3,4,0.3180225019898981
gradual,201,6,0,1,0.3205513272690107
gradual,201,6,0,2,0.4901397195069588
gradual,201,6,0,3,0.0
gradual,201,6,0,4,0.2969806403698555
gradual,201,6,1,2,0.43555901257331153
gradual,201,6,1,3,0.43626734043484927
gradual,201,6,1,4,0.0
gradual,201,6,2,3,0.6328116318754149
gradual,201,6,2,4,0.5693925706496837
gradual,201,6,3,4,0.3284118402503413
gradual,201,7,0,1,0.38297009426206646
gradual,201,7,0,2,0.5539359635424312
