regime,seed,snapshot_t,user,x,y
stationary,101,0,0,0.14,0.78
stationary,101,0,1,0.3,0.3
stationary,101,0,2,0.47,0.62
stationary,101,0,3,0.66,0.33
stationary,101,0,4,0.82,0.77
stationary,101,1,0,0.14,0.78
stationary,101,1,1,0.3,0.3
stationary,101,1,2,0.47,0.62
stationary,101,1,3,0.66,0.33
stationary,101,1,4,0.82,0.77
stationary,101,2,0,0.14,0.78
stationary,101,2,1,0.3,0.3
stationary,101,2,2,0.47,0.62
stationary,101,2,3,0.66,0.33
stationary,101,2,4,0.82,0.77
stationary,101,3,0,0.14,0.78
stationary,101,3,1,0.3,0.3
stationary,101,3,2,0.47,0.62
stationary,101,3,3,0.66,0.33
stationary,101,3,4,0.82,0.77
stationary,101,4,0,0.14,0.78
stationary,101,4,1,0.3,0.3
stationary,101,4,2,0.47,0.62
stationary,101,4,3,0.66,0.33
stationary,101,4,4,0.82,0.77
stationary,101,5,0,0.14,0.78
stationary,101,5,1,0.3,0.3
stationary,101,5,2,0.47,0.62
stationary,101,5,3,0.66,0.33
stationary,101,5,4,0.82,0.77
stationary,101,6,0,0.14,0.78
stationary,101,6,1,0.3,0.3
stationary,101,6,2,0.47,0.62
stationary,101,6,3,0.66,0.33
stationary,101,6,4,0.82,0.77
stationary,101,7,0,0.14,0.78
stationary,101,7,1,0.3,0.3
stationary,101,7,2,0.47,0.62
stationary,101,7,3,0.66,0.33
stationary,101,7,4,0.82,0.77
stationary,101,8,0,0.14,0.78
stationary,101,8,1,0.3,0.3
stationary,101,8,2,0.47,0.62
stationary,101,8,3,0.66,0.33
stationary,101,8,4,0.82,0.77
stationary,101,9,0,0.14,0.78
stationary,101,9,1,0.3,0.3
stationary,101,9,2,0.47,0.62
stationary,101,9,3,0.66,0.33
stationary,101,9,4,0.82,0.77
stationary,101,10,0,0.14,0.78
stationary,101,10,1,0.3,0.3
stationary,101,10,2,0.47,0.62
stationary,101,10,3,0.66,0.33
stationary,101,10,4,0.82,0.77
stationary,101,11,0,0.14,0.78
stationary,101,11,1,0.3,0.3
stationary,101,11,2,0.47,0.62
stationary,101,11,3,0.66,0.33
stationary,101,11,4,0.82,0.77
gradual,201,0,0,0.14,0.78
gradual,201,0,1,0.3,0.3
gradual,201,0,2,0.47,0.62
gradual,201,0,3,0.66,0.33
gradual,201,0,4,0.82,0.77
gradual,201,1,0,0.19786871567996067,0.7617695246432727
gradual,201,1,1,0.23784902292977683,0.27596970916684893
gradual,201,1,2,0.5218071996493553,0.6284726765723212
gradual,201,1,3,0.651551035771873,0.33564029187474725
gradual,201,1,4,0.8293127167567427,0.8000507102729595
gradual,201,2,0,0.20117176628020006,0.8012401715762781
gradual,201,2,1,0.22192315194839746,0.27439214439996534
gradual,201,2,2,0.5052770078446065,0.6304205408265591
gradual,201,2,3,0.7134282434711845,0.2852079554728585
gradual,201,2,4,0.7829683126342795,0.7796126253163016
gradual,201,3,0,0.23511126931447834,0.8092233224248176
gradual,201,3,1,0.1960215875993378,0.27608864898518376
gradual,201,3,2,0.4625813992121382,0.5938594587660528
gradual,201,3,3,0.6902665675999512,0.3007372814652824
gradual,201,3,4,0.7735211113623475,0.7816575135915307
gradual,201,4,0,0.27422779121694507,0.7968656868124079
gradual,201,4,1,0.23762783359144088,0.24628075828709423
gradual,201,4,2,0.530262914823055,0.5499280709657455
gradual,201,4,3,0.625767594561253,0.30718697858354926
gradual,201,4,4,0.7672010145225592,0.8053256519003509
gradual,201,5,0,0.3001188070240392,0.751325327763409
gradual,201,5,1,0.2368786733231186,0.3236747929073676
gradual,201,5,2,0.5193044362092466,0.6024050946120661
gradual,201,5,3,0.6289827638197673,0.2968647382551464
gradual,201,5,4,0.7341830771659149,0.7857918694266881
gradual,201,6,0,0.25165307188083247,0.8004343689819517
gradual,201,6,1,0.2342390455253846,0.30247640782300267
gradual,201,6,2,0.5480015609695335,0.5724498460287235
gradual,201,6,3,0.6471766403273451,0.32210722447232626
gradual,201,6,4,0.7672001563370899,0.7997562793943408
gradual,201,7,0,0.29603829626960965,0.7981126136830412
gradual,201,7,1,0.2568896245614642,0.34732074107635164
gradual,201,7,2,0.5612161622444986,0.6065818741316865
gradual,201,7,3,0.573443516956777,0.34427526980000883
gradual,201,7,4,0.7889390037415146,0.7976473863362492
gradual,201,8,0,0.33030365161824504,0.865529058713533
gradual,201,8,1,0.280042235771166,0.3767891039538383
gradual,201,8,2,0.5534030123623723,0.5926610849666486
gradual,201,8,3,0.5770255489768306,0.3122177894778736
gradual,201,8,4,0.788964731709588,0.8258247238933599
gradual,201,9,0,0.32722028792271923,0.8584493525053536
gradual,201,9,1,0.25763597067149857,0.4126185446608333
gradual,201,9,2,0.5576033052254223,0.5987958372218759
gradual,201,9,3,0.5929565660416243,0.34768609528668926
gradual,201,9,4,0.7629045206628943,0.8160788483993257
gradual,201,10,0,0.36502491867689074,0.846480935584836
gradual,201,10,1,0.2734596012943799,0.49375401743388947
gradual,201,10,2,0.5211147972551963,0.6082417476061857
gradual,201,10,3,0.6163236007307935,0.3974892244080881
gradual,201,10,4,0.7641619539444959,0.7778565183527365
gradual,201,11,0,0.33239952592786937,0.8416026811749953
gradual,201,11,1,0.22282424847415466,0.5544149136167494
gradual,201,11,2,0.4899837944325644,0.6439817586594906
gradual,201,11,3,0.6321117922355892,0.39625970775205843
gradual,201,11,4,0.7724428218127138,0.7303443103685426
sudden,304,0,0,0.14,0.78
sudden,304,0,1,0.3,0.3
sudden,304,0,2,0.47,0.62
sudden,304,0,3,0.66,0.33
sudden,304,0,4,0.82,0.77
sudden,304,1,0,0.10743460162568237,0.7702921405981427
sudden,304,1,1,0.297907740784674,0.30077204122906775
sudden,304,1,2,0.4565242698393156,0.6034293738654162
sudden,304,1,3,0.6706085909022377,0.32762271648697183
sudden,304,1,4,0.852637814382956,0.7802277456948097
sudden,304,2,0,0.10229430993017866,0.7735507838384215
sudden,304,2,1,0.3292940578557062,0.32166194171851004
sudden,304,2,2,0.42273978187791256,0.596792452908711
sudden,304,2,3,0.7199578165976226,0.3355179087498049
sudden,304,2,4,0.7673630754319432,0.7621571887944736
sudden,304,3,0,0.12152570707903157,0.822609026670148
sudden,304,3,1,0.35772788200910455,0.27634061767749885
sudden,304,3,2,0.41603457885503325,0.6102392051623827
sudden,304,3,3,0.7436682994534396,0.30449279245949257
sudden,304,3,4,0.7284303945519782,0.7793536999009592
sudden,304,4,0,0.1836278216491546,0.8019872677152136
sudden,304,4,1,0.36389027823234116,0.2640267929788917
sudden,304,4,2,0.4195490714532742,0.56095971255701
sudden,304,4,3,0.7082519662093446,0.2528010983853428
sudden,304,4,4,0.7322303966217278,0.840466442229556
sudden,304,5,0,0.1873109242703614,0.7987971717580614
sudden,304,5,1,0.3452364792328564,0.23915089968084544
sudden,304,5,2,0.4889946075124624,0.577812326061195
sudden,304,5,3,0.7128238521437658,0.2873113362510693
sudden,304,5,4,0.4031773351671111,0.522048877943317
sudden,304,6,0,0.20128931178459997,0.8422548883324787
sudden,304,6,1,0.36161977219481417,0.2618709760658907
sudden,304,6,2,0.4997145742959769,0.5482172007891842
sudden,304,6,3,0.6972712910590831,0.2632687007266097
sudden,304,6,4,0.3939187687629362,0.48396344580160966
sudden,304,7,0,0.21142182809398943,0.8097419872976952
sudden,304,7,1,0.3592617761595785,0.2677015182728247
sudden,304,7,2,0.5553970050662222,0.5468090469808486
sudden,304,7,3,0.635637737456363,0.3237782483425759
sudden,304,7,4,0.42409153134849104,0.48866012103461687
sudden,304,8,0,0.17831610447084262,0.7985829775468918
sudden,304,8,1,0.38669872610133005,0.3367353443722507
sudden,304,8,2,0.5962182940666969,0.6011653243731538
sudden,304,8,3,0.6518019046749802,0.3079329149669354
sudden,304,8,4,0.3863605170065392,0.5285155962838138
sudden,304,9,0,0.12469294794100277,0.8052541789652122
sudden,304,9,1,0.4506250635182749,0.3778571923545156
sudden,304,9,2,0.559953419001346,0.6487506776409427
sudden,304,9,3,0.6220121106448645,0.25747242915903423
sudden,304,9,4,0.3767233789142911,0.5198564182838831
sudden,304,10,0,0.19883741491834642,0.8078282102722169
sudden,304,10,1,0.41402934914867784,0.32255963284593303
sudden,304,10,2,0.5302614184360106,0.6449512835364057
sudden,304,10,3,0.5825730862328752,0.22787622488617748
sudden,304,10,4,0.3404840680038511,0.5358826623215367
sudden,304,11,0,0.15474267467545755,0.8151465871121913
sudden,304,11,1,0.3671450437785732,0.2978462331047093
sudden,304,11,2,0.5780355584022899,0.656295364597203
sudden,304,11,3,0.5952721250097852,0.23284345663930525
sudden,304,11,4,0.3124904511906549,0.5455806382239109
