regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.4436886660405435
stationary,101,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.4436886660405435
stationary,101,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.4436886660405435
stationary,101,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202687875068605,0.0,1.0,0.00390625,6,256,102,112,1.4436886660405435
stationary,101,Cold,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50618540154351,0.0,1.0,0.0078125,6,256,102,113,1.2417427920154296
stationary,101,Param,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299038874856492,0.0,1.0,0.00390625,6,256,102,113,1.236854416958522
stationary,101,State,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05383769970967244,0.0,1.0,0.81640625,6,256,102,113,1.2392326249973848
stationary,101,Combined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04857151674894243,0.0,1.0,0.82421875,6,256,102,113,1.2332589160068892
stationary,101,Cold,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355142825956571,0.0,1.0,0.00390625,6,256,102,113,1.2890514159807935
stationary,101,Param,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135302834294173,0.0,1.0,0.00390625,6,256,102,113,1.2332893339917064
stationary,101,State,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865172840263049,0.0,1.0,0.69921875,6,256,102,113,1.214893167023547
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037618144736706162,0.0,1.0,0.984375,6,256,102,113,1.2488688749726862
stationary,101,Cold,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002814940988365138,0.0,1.0,0.9921875,6,256,102,113,1.2414153749705292
stationary,101,Param,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013917538354705992,0.0,1.0,0.95703125,6,256,102,113,1.2251220420002937
stationary,101,State,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00380462735598766,0.0,1.0,0.98828125,6,256,102,113,1.233288708026521
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008225517896017951,0.0,1.0,0.99609375,6,256,102,113,1.2263045000145212
stationary,101,Cold,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110132224849017,0.0,1.0,0.015625,6,256,102,112,1.2360817920416594
stationary,101,Param,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367695728859463,0.0,1.0,0.00390625,6,256,102,112,1.2307634169701487
stationary,101,State,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036588124647567942,0.0,1.0,0.98828125,6,256,102,113,1.2402504999772646
stationary,101,Combined,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699779631902786,0.0,1.0,0.984375,6,256,102,113,1.2176766250049695
stationary,101,Cold,5,0.0,0.4276834383936965,0.24768343839369647,0.6,0.4276834383936965,0.24768343839369647,0.6,0.0,0.45313948498675083,0.4276834383936965,1.0,0.00390625,6,256,102,113,1.2200459580053575
stationary,101,Param,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276834383936965,0.48015676288065534,0.0,1.0,0.00390625,6,256,102,113,1.2253787909867242
stationary,101,State,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276834383936965,0.0019742520019140654,0.0,1.0,0.9921875,6,256,102,113,1.2146737920120358
stationary,101,Combined,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276834383936965,0.003548079419590515,0.0,1.0,0.98828125,6,256,102,113,1.195614124997519
stationary,101,Cold,6,0.0,0.15711018025563694,0.09711018025563692,0.20000000000000007,0.5847936186493334,0.3447936186493334,0.8,0.0,0.5120928386235564,0.15711018025563694,1.0,0.015625,6,256,102,113,1.2266901669790968
stationary,101,Param,6,0.0,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.09711018025563693,0.2,0.0,0.4938227600841945,0.15711018025563694,1.0,0.015625,6,256,102,113,1.224827500001993
stationary,101,State,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.006013307199553401,0.0,1.0,0.97265625,6,256,102,113,1.228234042006079
stationary,101,Combined,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.002143757220809591,0.0,1.0,0.98828125,6,256,102,113,1.165339374972973
stationary,101,Cold,7,0.0,0.06,0.0,0.19999999999999996,0.6447936186493335,0.3447936186493334,1.0,0.0,0.5422539285781988,0.06,1.0,0.01171875,6,256,102,113,1.237195082998369
stationary,101,Param,7,0.0,0.09711018025563693,0.09711018025563693,0.0,0.2542203605112739,0.19422036051127387,0.2,-0.037110180255636935,0.5827074506942577,0.09711018025563693,1.0,0.00390625,6,256,102,113,1.1489799999981187
stationary,101,State,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4046054317908778,0.0,1.0,0.0078125,6,256,102,113,1.2412531249574386
stationary,101,Combined,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.004394321536856971,0.0,1.0,0.98046875,6,256,102,113,1.158591167011764
stationary,101,Cold,8,0.0,0.0,0.0,0.0,0.6447936186493335,0.3447936186493334,1.0,0.0,0.49504634277841364,0.0,1.0,0.01171875,6,256,102,113,1.236211583018303
stationary,101,Param,8,0.0,0.06,0.0,0.2,0.3142203605112739,0.19422036051127387,0.4,-0.06,0.5738042781197382,0.06,1.0,0.0078125,6,256,102,113,1.1675288330297917
stationary,101,State,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030302503816804546,0.0,1.0,0.9921875,6,256,102,113,1.222166332998313
stationary,101,Combined,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002675975317212663,0.0,1.0,0.9921875,6,256,102,113,1.1808272500056773
stationary,101,Cold,9,0.0,0.18,0.0,0.6000000000000001,0.8247936186493334,0.3447936186493334,1.6,0.0,0.5274920302781109,0.18,1.0,0.0078125,6,256,102,112,1.2580700839753263
stationary,101,Param,9,0.0,0.0,0.0,0.0,0.3142203605112739,0.19422036051127387,0.4,0.18,0.5183467258387625,0.0,1.0,0.00390625,6,256,102,112,1.1699205830227584
stationary,101,State,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.025653107994248903,0.0,1.0,0.921875,6,256,102,113,1.2218012500088662
stationary,101,Combined,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.004675506239752752,0.0,1.0,0.984375,6,256,102,113,1.2183693330152892
stationary,101,Cold,10,0.0,0.15711018025563694,0.09711018025563695,0.19999999999999996,0.9819037989049704,0.44190379890497034,1.8,0.0,0.4969086037152152,0.15711018025563694,1.0,0.04296875,6,256,102,112,1.2255591249559075
stationary,101,Param,10,0.0,0.18,0.0,0.6,0.4942203605112739,0.19422036051127387,1.0,-0.02288981974436305,0.5401231115217954,0.18,1.0,0.01953125,6,256,102,112,1.2210200830013491
stationary,101,State,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.011945037158115785,0.0,1.0,0.96484375,6,256,102,113,1.2459767499822192
