regime,seed,method,snapshot_t,delta,gain_vs_cold
stationary,101,Param,1,0.0,0.0
stationary,101,State,1,0.0,0.0
stationary,101,Combined,1,0.0,0.0
stationary,101,Param,2,0.0,0.0
stationary,101,State,2,0.0,0.0
stationary,101,Combined,2,0.0,0.0
stationary,101,Param,3,0.0,0.0
stationary,101,State,3,0.0,0.0
stationary,101,Combined,3,0.0,0.0
stationary,101,Param,4,0.0,0.0
stationary,101,State,4,0.0,0.0
stationary,101,Combined,4,0.0,0.0
stationary,101,Param,5,0.0,0.4276834383936965
stationary,101,State,5,0.0,0.4276834383936965
stationary,101,Combined,5,0.0,0.4276834383936965
stationary,101,Param,6,0.0,0.0
stationary,101,State,6,0.0,0.15711018025563694
stationary,101,Combined,6,0.0,0.15711018025563694
stationary,101,Param,7,0.0,-0.037110180255636935
stationary,101,State,7,0.0,0.06
stationary,101,Combined,7,0.0,0.06
stationary,101,Param,8,0.0,-0.06
stationary,101,State,8,0.0,0.0
stationary,101,Combined,8,0.0,0.0
stationary,101,Param,9,0.0,0.18
stationary,101,State,9,0.0,0.18
stationary,101,Combined,9,0.0,0.18
stationary,101,Param,10,0.0,-0.02288981974436305
stationary,101,State,10,0.0,0.15711018025563694
stationary,101,Combined,10,0.0,0.15711018025563694
stationary,101,Param,11,0.0,-0.07613446572732106
stationary,101,State,11,0.0,0.09711018025563693
stationary,101,Combined,11,0.0,0.09711018025563693
gradual,201,Param,1,0.05790101207497034,0.0
gradual,201,State,1,0.05790101207497034,0.0
gradual,201,Combined,1,0.05790101207497034,0.0
gradual,201,Param,2,0.05497629363283278,0.0
gradual,201,State,2,0.05497629363283278,0.0
gradual,201,Combined,2,0.05497629363283278,0.0
gradual,201,Param,3,0.08371174074969893,0.01569694609729988
gradual,201,State,3,0.08371174074969893,0.25569694609729987
gradual,201,Combined,3,0.08371174074969893,0.25569694609729987
gradual,201,Param,4,0.11750191804047988,-0.12
gradual,201,State,4,0.11750191804047988,0.06
gradual,201,Combined,4,0.11750191804047988,0.06
gradual,201,Param,5,0.1200381806720448,0.0
gradual,201,State,5,0.1200381806720448,0.0
gradual,201,Combined,5,0.1200381806720448,0.0
gradual,201,Param,6,0.07184456856649539,0.18
gradual,201,State,6,0.07184456856649539,0.18
gradual,201,Combined,6,0.07184456856649539,0.18
gradual,201,Param,7,0.08267653608144296,0.0
gradual,201,State,7,0.08267653608144296,0.0
gradual,201,Combined,7,0.08267653608144296,0.0
gradual,201,Param,8,0.11585289154773083,0.18
gradual,201,State,8,0.11585289154773083,0.18
gradual,201,Combined,8,0.11585289154773083,0.18
gradual,201,Param,9,0.0744767277536755,0.3802292059618526
gradual,201,State,9,0.0744767277536755,0.3802292059618526
gradual,201,Combined,9,0.0744767277536755,0.3802292059618526
gradual,201,Param,10,0.09611645599736146,0.06
gradual,201,State,10,0.09611645599736146,0.06
gradual,201,Combined,10,0.09611645599736146,0.06
gradual,201,Param,11,0.051510007573272606,0.0
gradual,201,State,11,0.051510007573272606,0.0
gradual,201,Combined,11,0.051510007573272606,0.0
sudden,304,Param,1,0.028085573104157414,0.0
sudden,304,State,1,0.028085573104157414,0.0
sudden,304,Combined,1,0.028085573104157414,-0.18
sudden,304,Param,2,0.053390530254520244,-0.15592826408822258
sudden,304,State,2,0.053390530254520244,0.0
sudden,304,Combined,2,0.053390530254520244,-0.18
sudden,304,Param,3,0.09263180802625176,-0.12
sudden,304,State,3,0.09263180802625176,0.18
sudden,304,Combined,3,0.09263180802625176,0.0
sudden,304,Param,4,0.15694629941841726,0.0
sudden,304,State,4,0.15694629941841726,0.06
sudden,304,Combined,4,0.15694629941841726,-0.12
sudden,304,Param,5,0.282055129208904,0.14788761495497216
sudden,304,State,5,0.282055129208904,0.297244599861914
sudden,304,Combined,5,0.282055129208904,0.20154537158568744
sudden,304,Param,6,0.04640607022888519,-0.011902524302066286
sudden,304,State,6,0.04640607022888519,0.014568401461115849
sudden,304,Combined,6,0.04640607022888519,-0.13190252430206628
sudden,304,Param,7,0.051700466145232535,-0.06879397133476312
sudden,304,State,7,0.051700466145232535,-0.010698219536114745
sudden,304,Combined,7,0.051700466145232535,-0.11610997958954747
sudden,304,Param,8,0.08007008666334986,0.06
sudden,304,State,8,0.08007008666334986,0.09306324679713945
sudden,304,Combined,8,0.08007008666334986,-0.046814276109236885
sudden,304,Param,9,0.044248679039635044,0.2321847055539247
sudden,304,State,9,0.044248679039635044,0.3018826674294405
sudden,304,Combined,9,0.044248679039635044,0.15878519237936006
sudden,304,Param,10,0.05128948510644461,0.06
sudden,304,State,10,0.05128948510644461,0.08748885353382121
sudden,304,Combined,10,0.05128948510644461,-0.03251114646617878
sudden,304,Param,11,0.08078939676384554,0.1018587463770705
sudden,304,State,11,0.08078939676384554,0.04889414436117567
sudden,304,Combined,11,0.08078939676384554,-0.01814125362292951
