method,snapshot_t,evaluation,objective_value,best_so_far
Cold,0,1,0.22866271955297127,0.22866271955297127
Cold,0,2,0.3168816616590503,0.22866271955297127
Cold,0,3,0.21430457786320037,0.21430457786320037
Cold,0,4,0.3011210760628988,0.21430457786320037
Cold,0,5,0.3311998248901214,0.21430457786320037
Cold,0,6,0.2384452957988911,0.21430457786320037
Cold,0,7,0.21094527552012762,0.21094527552012762
Cold,0,8,0.22112986103065765,0.21094527552012762
Cold,1,1,0.5153126552785955,0.5153126552785955
Cold,1,2,0.4971926595417384,0.4971926595417384
Cold,1,3,0.522036132767542,0.4971926595417384
Cold,1,4,0.5429403109676073,0.4971926595417384
Cold,1,5,0.5002773074658698,0.4971926595417384
Cold,1,6,0.5544701212162475,0.4971926595417384
Cold,1,7,0.5252242379084158,0.4971926595417384
Cold,1,8,0.5388312905669403,0.4971926595417384
Cold,2,1,0.5165652228388935,0.5165652228388935
Cold,2,2,0.5244836944856064,0.5165652228388935
Cold,2,3,0.5083270778382144,0.5083270778382144
Cold,2,4,0.5195589776568162,0.5083270778382144
Cold,2,5,0.5288220157059611,0.5083270778382144
Cold,2,6,0.5097833387685745,0.5083270778382144
Cold,2,7,0.5156997635823013,0.5083270778382144
Cold,2,8,0.5326463315941412,0.5083270778382144
Cold,3,1,0.692931435711852,0.692931435711852
Cold,3,2,0.658210304451332,0.658210304451332
Cold,3,3,0.6633291654515754,0.658210304451332
Cold,3,4,0.5623114269082478,0.5623114269082478
Cold,3,5,0.5851818584904265,0.5623114269082478
Cold,3,6,0.5259784928175077,0.5259784928175077
Cold,3,7,0.5913627757671693,0.5259784928175077
Cold,3,8,0.5850221916030162,0.5259784928175077
Cold,4,1,0.52582976987245,0.52582976987245
Cold,4,2,0.5416190842776099,0.52582976987245
Cold,4,3,0.5345665085967064,0.52582976987245
Cold,4,4,0.5866273261223511,0.52582976987245
Cold,4,5,0.4810481754687734,0.4810481754687734
Cold,4,6,0.5447599202580196,0.4810481754687734
Cold,4,7,0.48401960780308667,0.4810481754687734
Cold,4,8,0.4657023385945391,0.4657023385945391
Param,0,1,0.22866271955297127,0.22866271955297127
Param,0,2,0.3168816616590503,0.22866271955297127
Param,0,3,0.21430457786320037,0.21430457786320037
Param,0,4,0.3011210760628988,0.21430457786320037
Param,0,5,0.3311998248901214,0.21430457786320037
Param,0,6,0.2384452957988911,0.21430457786320037
Param,0,7,0.21094527552012762,0.21094527552012762
Param,0,8,0.22112986103065765,0.21094527552012762
Param,1,1,0.45995108796045914,0.45995108796045914
Param,1,2,0.5156759961784542,0.45995108796045914
Param,1,3,0.45775282630563874,0.45775282630563874
Param,1,4,0.5115294057009042,0.45775282630563874
Param,1,5,0.5277331954323269,0.45775282630563874
