regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold
stationary,101,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,101,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,101,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,101,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,101,Cold,1,0.0,0.18,0.0,0.6,0.18,0.0,0.6,0.0
stationary,101,Param,1,0.0,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.09711018025563693,0.2,0.02288981974436305
stationary,101,State,1,0.0,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.09711018025563693,0.2,0.02288981974436305
stationary,101,Combined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,2,0.0,0.18,0.0,0.6,0.36,0.0,1.2,0.0
stationary,101,Param,2,0.0,0.09711018025563693,0.09711018025563693,0.0,0.2542203605112739,0.19422036051127387,0.2,0.08288981974436306
stationary,101,State,2,0.0,0.09711018025563693,0.09711018025563693,0.0,0.2542203605112739,0.19422036051127387,0.2,0.08288981974436306
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,3,0.0,0.18,0.0,0.5999999999999999,0.54,0.0,1.7999999999999998,0.0
stationary,101,Param,3,0.0,0.09711018025563693,0.09711018025563692,0.0,0.35133054076691084,0.2913305407669108,0.2,0.08288981974436306
stationary,101,State,3,0.0,0.09711018025563693,0.09711018025563692,0.0,0.35133054076691084,0.2913305407669108,0.2,0.08288981974436306
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,4,0.0,0.18,0.0,0.6000000000000001,0.72,0.0,2.4,0.0
stationary,101,Param,4,0.0,0.09711018025563693,0.09711018025563695,0.0,0.4484407210225478,0.38844072102254773,0.2,0.08288981974436306
stationary,101,State,4,0.0,0.09711018025563693,0.09711018025563695,0.0,0.4484407210225478,0.38844072102254773,0.2,0.08288981974436306
stationary,101,Combined,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,5,0.0,0.18,0.0,0.6000000000000001,0.8999999999999999,0.0,3.0,0.0
stationary,101,Param,5,0.0,0.09711018025563693,0.09711018025563695,0.0,0.5455509012781847,0.4855509012781847,0.2,0.08288981974436306
stationary,101,State,5,0.0,0.09711018025563693,0.09711018025563695,0.0,0.5455509012781847,0.4855509012781847,0.2,0.08288981974436306
stationary,101,Combined,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,6,0.0,0.18,0.0,0.6000000000000001,1.0799999999999998,0.0,3.6,0.0
stationary,101,Param,6,0.0,0.09711018025563693,0.09711018025563689,0.0,0.6426610815338216,0.5826610815338216,0.2,0.08288981974436306
stationary,101,State,6,0.0,0.09711018025563693,0.09711018025563689,0.0,0.6426610815338216,0.5826610815338216,0.2,0.08288981974436306
stationary,101,Combined,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,7,0.0,0.18,0.0,0.6000000000000001,1.2599999999999998,0.0,4.2,0.0
stationary,101,Param,7,0.0,0.09711018025563693,0.09711018025563689,0.0,0.7397712617894585,0.6797712617894585,0.2,0.08288981974436306
stationary,101,State,7,0.0,0.09711018025563693,0.09711018025563689,0.0,0.7397712617894585,0.6797712617894585,0.2,0.08288981974436306
stationary,101,Combined,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,8,0.0,0.18,0.0,0.5999999999999996,1.4399999999999997,0.0,4.8,0.0
stationary,101,Param,8,0.0,0.09711018025563693,0.09711018025563689,0.0,0.8368814420450954,0.7768814420450953,0.2,0.08288981974436306
stationary,101,State,8,0.0,0.09711018025563693,0.09711018025563689,0.0,0.8368814420450954,0.7768814420450953,0.2,0.08288981974436306
stationary,101,Combined,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,101,Cold,9,0.0,0.18,0.0,0.5999999999999996,1.6199999999999997,0.0,5.3999999999999995,0.0
stationary,101,Param,9,0.0,0.09711018025563693,0.09711018025563689,0.0,0.9339916223007323,0.8739916223007322,0.2,0.08288981974436306
stationary,101,State,9,0.0,0.09711018025563693,0.09711018025563689,0.0,0.9339916223007323,0.8739916223007322,0.2,0.08288981974436306
stationary,101,Combined,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,102,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,102,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,102,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary,102,Cold,1,0.0,0.18,0.0,0.6,0.18,0.0,0.6,0.0
stationary,102,Param,1,0.0,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.09711018025563693,0.2,0.02288981974436305
stationary,102,State,1,0.0,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.09711018025563693,0.2,0.02288981974436305
stationary,102,Combined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,2,0.0,0.18,0.0,0.6,0.36,0.0,1.2,0.0
stationary,102,Param,2,0.0,0.09711018025563693,0.09711018025563693,0.0,0.2542203605112739,0.19422036051127387,0.2,0.08288981974436306
stationary,102,State,2,0.0,0.09711018025563693,0.09711018025563693,0.0,0.2542203605112739,0.19422036051127387,0.2,0.08288981974436306
stationary,102,Combined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,3,0.0,0.18,0.0,0.5999999999999999,0.54,0.0,1.7999999999999998,0.0
stationary,102,Param,3,0.0,0.09711018025563693,0.09711018025563692,0.0,0.35133054076691084,0.2913305407669108,0.2,0.08288981974436306
stationary,102,State,3,0.0,0.09711018025563693,0.09711018025563692,0.0,0.35133054076691084,0.2913305407669108,0.2,0.08288981974436306
stationary,102,Combined,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,4,0.0,0.18,0.0,0.6000000000000001,0.72,0.0,2.4,0.0
stationary,102,Param,4,0.0,0.09711018025563693,0.09711018025563695,0.0,0.4484407210225478,0.38844072102254773,0.2,0.08288981974436306
stationary,102,State,4,0.0,0.09711018025563693,0.09711018025563695,0.0,0.4484407210225478,0.38844072102254773,0.2,0.08288981974436306
stationary,102,Combined,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,5,0.0,0.18,0.0,0.6000000000000001,0.8999999999999999,0.0,3.0,0.0
stationary,102,Param,5,0.0,0.09711018025563693,0.09711018025563695,0.0,0.5455509012781847,0.4855509012781847,0.2,0.08288981974436306
stationary,102,State,5,0.0,0.09711018025563693,0.09711018025563695,0.0,0.5455509012781847,0.4855509012781847,0.2,0.08288981974436306
stationary,102,Combined,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,6,0.0,0.18,0.0,0.6000000000000001,1.0799999999999998,0.0,3.6,0.0
stationary,102,Param,6,0.0,0.09711018025563693,0.09711018025563689,0.0,0.6426610815338216,0.5826610815338216,0.2,0.08288981974436306
stationary,102,State,6,0.0,0.09711018025563693,0.09711018025563689,0.0,0.6426610815338216,0.5826610815338216,0.2,0.08288981974436306
stationary,102,Combined,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,7,0.0,0.18,0.0,0.6000000000000001,1.2599999999999998,0.0,4.2,0.0
stationary,102,Param,7,0.0,0.09711018025563693,0.09711018025563689,0.0,0.7397712617894585,0.6797712617894585,0.2,0.08288981974436306
stationary,102,State,7,0.0,0.09711018025563693,0.09711018025563689,0.0,0.7397712617894585,0.6797712617894585,0.2,0.08288981974436306
stationary,102,Combined,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,8,0.0,0.18,0.0,0.5999999999999996,1.4399999999999997,0.0,4.8,0.0
stationary,102,Param,8,0.0,0.09711018025563693,0.09711018025563689,0.0,0.8368814420450954,0.7768814420450953,0.2,0.08288981974436306
stationary,102,State,8,0.0,0.09711018025563693,0.09711018025563689,0.0,0.8368814420450954,0.7768814420450953,0.2,0.08288981974436306
stationary,102,Combined,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
stationary,102,Cold,9,0.0,0.18,0.0,0.5999999999999996,1.6199999999999997,0.0,5.3999999999999995,0.0
stationary,102,Param,9,0.0,0.09711018025563693,0.09711018025563689,0.0,0.9339916223007323,0.8739916223007322,0.2,0.08288981974436306
stationary,102,State,9,0.0,0.09711018025563693,0.09711018025563689,0.0,0.9339916223007323,0.8739916223007322,0.2,0.08288981974436306
stationary,102,Combined,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,201,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,201,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,201,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,201,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual,201,Cold,1,0.05790101207497034,0.18,0.0,0.6,0.18,0.0,0.6,0.0
gradual,201,Param,1,0.05790101207497034,0.16467208496856167,0.10467208496856166,0.2,0.16467208496856167,0.10467208496856166,0.2,0.015327915031438322
gradual,201,State,1,0.05790101207497034,0.16467208496856167,0.10467208496856166,0.2,0.16467208496856167,0.10467208496856166,0.2,0.015327915031438322
gradual,201,Combined,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,201,Cold,2,0.05497629363283278,0.18,0.0,0.6,0.36,0.0,1.2,0.0
gradual,201,Param,2,0.05497629363283278,0.11182986493037256,0.11182986493037257,0.0,0.27650194989893423,0.21650194989893423,0.2,0.06817013506962744
gradual,201,State,2,0.05497629363283278,0.11182986493037256,0.11182986493037257,0.0,0.27650194989893423,0.21650194989893423,0.2,0.06817013506962744
gradual,201,Combined,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,201,Cold,3,0.08371174074969893,0.1956969460972999,0.1356969460972999,0.19999999999999996,0.5556969460972999,0.1356969460972999,1.4,0.0
gradual,201,Param,3,0.08371174074969893,0.18,0.0,0.6000000000000001,0.4565019498989342,0.21650194989893423,0.8,0.015696946097299908
gradual,201,State,3,0.08371174074969893,0.18,0.0,0.6000000000000001,0.4565019498989342,0.21650194989893423,0.8,0.015696946097299908
gradual,201,Combined,3,0.08371174074969893,0.0,0.0,0.0,0.0,0.0,0.0,0.1956969460972999
gradual,201,Cold,4,0.11750191804047988,0.20530768598740587,0.14530768598740587,0.19999999999999996,0.7610046320847058,0.2810046320847058,1.5999999999999999,0.0
gradual,201,Param,4,0.11750191804047988,0.16255908716532103,0.10255908716532103,0.19999999999999996,0.6190610370642553,0.31906103706425526,1.0,0.04274859882208484
gradual,201,State,4,0.11750191804047988,0.16255908716532103,0.10255908716532103,0.19999999999999996,0.6190610370642553,0.31906103706425526,1.0,0.04274859882208484
gradual,201,Combined,4,0.11750191804047988,0.0,0.0,0.0,0.0,0.0,0.0,0.20530768598740587
gradual,201,Cold,5,0.1200381806720448,0.18,0.0,0.5999999999999999,0.9410046320847059,0.2810046320847058,2.1999999999999997,0.0
gradual,201,Param,5,0.1200381806720448,0.18,0.0,0.6000000000000001,0.7990610370642552,0.31906103706425526,1.6,0.0
gradual,201,State,5,0.1200381806720448,0.18,0.0,0.6000000000000001,0.7990610370642552,0.31906103706425526,1.6,0.0
gradual,201,Combined,5,0.1200381806720448,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,201,Cold,6,0.07184456856649539,0.18408685363460364,0.12408685363460364,0.20000000000000018,1.1250914857193095,0.4050914857193094,2.4,0.0
gradual,201,Param,6,0.07184456856649539,0.18,0.0,0.6000000000000001,0.9790610370642552,0.31906103706425526,2.2,0.004086853634603649
gradual,201,State,6,0.07184456856649539,0.18,0.0,0.6000000000000001,0.9790610370642552,0.31906103706425526,2.2,0.004086853634603649
gradual,201,Combined,6,0.07184456856649539,0.0,0.0,0.0,0.0,0.0,0.0,0.18408685363460364
gradual,201,Cold,7,0.08267653608144296,0.24721308725928604,0.18721308725928598,0.20000000000000018,1.3723045729785954,0.5923045729785954,2.6,0.0
gradual,201,Param,7,0.08267653608144296,0.19462560270672274,0.13462560270672275,0.20000000000000018,1.173686639770978,0.453686639770978,2.4000000000000004,0.05258748455256329
gradual,201,State,7,0.08267653608144296,0.19462560270672274,0.13462560270672275,0.20000000000000018,1.173686639770978,0.453686639770978,2.4000000000000004,0.05258748455256329
