scenario,seed,snapshot_t,method,evaluation,best_so_far_cost
gradual,201,4,Cold,1,0.3453076859874059
gradual,201,4,Cold,2,0.34481221534037815
gradual,201,4,Cold,3,0.3435823569839391
gradual,201,4,Cold,4,0.34172807205839323
gradual,201,4,Cold,5,0.33929974144404923
gradual,201,4,Cold,6,0.3363300097645323
gradual,201,4,Cold,7,0.3328427462982674
gradual,201,4,Cold,8,0.32885660642032144
gradual,201,4,Cold,9,0.3243868079615217
gradual,201,4,Cold,10,0.3194461421045371
gradual,201,4,Cold,11,0.3140456016157546
gradual,201,4,Cold,12,0.30819479686510765
gradual,201,4,Cold,13,0.30190224491607875
gradual,201,4,Cold,14,0.29517557817249207
gradual,201,4,Cold,15,0.2880216996515869
gradual,201,4,Cold,16,0.28044690149826085
gradual,201,4,Cold,17,0.2724569573870739
gradual,201,4,Cold,18,0.26405719588363835
gradual,201,4,Cold,19,0.2552525596076504
gradual,201,4,Cold,20,0.24604765360113237
gradual,201,4,Cold,21,0.23644678534919802
gradual,201,4,Cold,22,0.22645399824849705
gradual,201,4,Cold,23,0.21607309986355241
gradual,201,4,Cold,24,0.20530768598740587
gradual,201,4,Param,1,0.26255908716532106
gradual,201,4,Param,2,0.24586849569550415
gradual,201,4,Param,3,0.2319636626618105
gradual,201,4,Param,4,0.2203796285043308
gradual,201,4,Param,5,0.21072903816380006
gradual,201,4,Param,6,0.20268918843143297
gradual,201,4,Param,7,0.19599123717268238
gradual,201,4,Param,8,0.19041121359537733
gradual,201,4,Param,9,0.18576252895727974
gradual,201,4,Param,10,0.18188973728084717
gradual,201,4,Param,11,0.178663337441605
gradual,201,4,Param,12,0.17597544281871358
gradual,201,4,Param,13,0.17373617370646816
gradual,201,4,Param,14,0.1718706518536574
gradual,201,4,Param,15,0.17031649663207943
gradual,201,4,Param,16,0.1690217391093419
gradual,201,4,Param,17,0.16794308427524918
gradual,201,4,Param,18,0.16704446331288433
gradual,201,4,Param,19,0.16629582750420993
gradual,201,4,Param,20,0.16567214343995812
gradual,201,4,Param,21,0.16515255593493294
gradual,201,4,Param,22,0.16471969065769973
gradual,201,4,Param,23,0.16435907315550422
gradual,201,4,Param,24,0.1640586448473688
gradual,201,4,State,1,0.25255908716532105
gradual,201,4,State,2,0.24864604368706017
gradual,201,4,State,3,0.24473300020879932
gradual,201,4,State,4,0.24081995673053844
gradual,201,4,State,5,0.23690691325227756
gradual,201,4,State,6,0.2329938697740167
gradual,201,4,State,7,0.22908082629575582
gradual,201,4,State,8,0.22516778281749494
gradual,201,4,State,9,0.2212547393392341
gradual,201,4,State,10,0.2173416958609732
gradual,201,4,State,11,0.21342865238271236
gradual,201,4,State,12,0.20951560890445148
gradual,201,4,State,13,0.2056025654261906
gradual,201,4,State,14,0.20168952194792975
gradual,201,4,State,15,0.19777647846966886
gradual,201,4,State,16,0.19386343499140798
gradual,201,4,State,17,0.18995039151314713
gradual,201,4,State,18,0.18603734803488625
gradual,201,4,State,19,0.18212430455662537
gradual,201,4,State,20,0.1782112610783645
gradual,201,4,State,21,0.17429821760010364
gradual,201,4,State,22,0.1703851741218428
gradual,201,4,State,23,0.1664721306435819
gradual,201,4,State,24,0.16255908716532103
gradual,201,4,Combined,1,0.07
gradual,201,4,Combined,2,0.05831658597112818
gradual,201,4,Combined,3,0.048583202847542625
gradual,201,4,Combined,4,0.040474378937306835
