regime,seed,method,lambda_switch,cumulative_switches,cumulative_interference,cumulative_cost
stationary,101,Cold,0.0,1.0,0.0,0.0
stationary,101,Combined,0.0,0.0,0.0,0.0
stationary,101,Cold,0.15,7.199999999999999,0.0,1.08
stationary,101,Combined,0.15,0.0,0.0,0.0
stationary,101,Cold,0.3,5.3999999999999995,0.0,1.6199999999999997
stationary,101,Combined,0.3,0.0,0.0,0.0
stationary,101,Cold,0.6,2.6000000000000005,0.7528662906902978,2.3128662906902977
stationary,101,Combined,0.6,0.0,0.0,0.0
stationary,102,Cold,0.0,1.0,0.0,0.0
stationary,102,Combined,0.0,0.0,0.0,0.0
stationary,102,Cold,0.15,7.199999999999999,0.0,1.08
stationary,102,Combined,0.15,0.0,0.0,0.0
stationary,102,Cold,0.3,5.3999999999999995,0.0,1.6199999999999997
stationary,102,Combined,0.3,0.0,0.0,0.0
stationary,102,Cold,0.6,2.6000000000000005,0.7528662906902978,2.3128662906902977
stationary,102,Combined,0.6,0.0,0.0,0.0
gradual,201,Cold,0.0,1.0,0.06675581962951228,0.06675581962951228
gradual,201,Combined,0.0,0.0,0.06675581962951228,0.06675581962951228
gradual,201,Cold,0.15,6.6,0.13462560270672275,1.1246256027067227
gradual,201,Combined,0.15,0.0,0.06675581962951228,0.06675581962951228
gradual,201,Cold,0.3,3.4000000000000004,0.7241109769473152,1.744110976947315
gradual,201,Combined,0.3,0.0,0.06675581962951228,0.06675581962951228
gradual,201,Cold,0.6,1.7999999999999998,1.3572831536527457,2.437283153652746
gradual,201,Combined,0.6,0.0,0.06675581962951228,0.06675581962951228
gradual,202,Cold,0.0,2.6000000000000005,0.0,0.0
gradual,202,Combined,0.0,0.8,0.0,0.0
gradual,202,Cold,0.15,3.600000000000001,0.0,0.54
gradual,202,Combined,0.15,0.0,0.0,0.0
gradual,202,Cold,0.3,3.2,0.0,0.9600000000000002
gradual,202,Combined,0.3,0.0,0.0,0.0
gradual,202,Cold,0.6,2.2,0.2590996584011879,1.5790996584011885
gradual,202,Combined,0.6,0.0,0.0,0.0
gradual,203,Cold,0.0,5.2,0.0,0.0
gradual,203,Combined,0.0,0.8,0.0,0.0
gradual,203,Cold,0.15,3.8,0.08592292740576533,0.6559229274057654
gradual,203,Combined,0.15,0.0,0.0,0.0
gradual,203,Cold,0.3,3.0,0.23968522012459562,1.1396852201245955
gradual,203,Combined,0.3,0.0,0.0,0.0
gradual,203,Cold,0.6,2.6,0.36846092389907587,1.9284609238990758
gradual,203,Combined,0.6,0.0,0.0,0.0
gradual,204,Cold,0.0,2.2,0.07788019602500676,0.07788019602500676
gradual,204,Combined,0.0,0.0,0.07788019602500676,0.07788019602500676
gradual,204,Cold,0.15,5.6000000000000005,0.23864649057780452,1.0786464905778046
gradual,204,Combined,0.15,0.0,0.07788019602500676,0.07788019602500676
gradual,204,Cold,0.3,4.0,0.382515451862217,1.5825154518622169
gradual,204,Combined,0.3,0.0,0.07788019602500676,0.07788019602500676
gradual,204,Cold,0.6,1.9999999999999998,1.1358824100174403,2.3358824100174402
gradual,204,Combined,0.6,0.0,0.07788019602500676,0.07788019602500676
sudden,301,Cold,0.0,2.8000000000000003,0.30271901407226104,0.30271901407226104
sudden,301,Combined,0.0,0.8,0.30271901407226104,0.30271901407226104
sudden,301,Cold,0.15,5.000000000000001,0.3549282957509466,1.1049282957509465
sudden,301,Combined,0.15,0.2,0.3343371619067875,0.3643371619067875
sudden,301,Cold,0.3,4.4,0.39262765257490523,1.7126276525749051
sudden,301,Combined,0.3,0.2,0.37950069986040813,0.43950069986040813
sudden,301,Cold,0.6,2.6000000000000005,0.8481469387382731,2.408146938738273
sudden,301,Combined,0.6,0.2,0.37950069986040813,0.4995006998604081
sudden,302,Cold,0.0,1.4,0.3487423824174631,0.3487423824174631
sudden,302,Combined,0.0,0.4,0.3487423824174631,0.3487423824174631
sudden,302,Cold,0.15,6.399999999999999,0.3487423824174631,1.3087423824174633
sudden,302,Combined,0.15,0.2,0.3487423824174631,0.37874238241746305
sudden,302,Cold,0.3,3.0000000000000004,0.8947562137688468,1.7947562137688469
sudden,302,Combined,0.3,0.0,0.5449856026834469,0.5449856026834469
sudden,302,Cold,0.6,2.4000000000000004,1.1171206829805824,2.5571206829805826
sudden,302,Combined,0.6,0.0,0.5449856026834469,0.5449856026834469
sudden,303,Cold,0.0,4.0,0.13440540334228057,0.13440540334228057
sudden,303,Combined,0.0,2.6,0.13440540334228057,0.13440540334228057
sudden,303,Cold,0.15,4.0,0.40807824153699573,1.0080782415369958
sudden,303,Combined,0.15,0.2,0.13440540334228057,0.1644054033422806
sudden,303,Cold,0.3,4.0,0.38949912086074745,1.5894991208607474
sudden,303,Combined,0.3,0.2,0.13440540334228057,0.19440540334228057
sudden,303,Cold,0.6,2.6000000000000005,0.7021805040442404,2.262180504044241
sudden,303,Combined,0.6,0.2,0.2109420765206723,0.3309420765206723
sudden,304,Cold,0.0,2.8000000000000003,0.5568599738350304,0.5568599738350304
sudden,304,Combined,0.0,1.4,0.5568599738350304,0.5568599738350304
sudden,304,Cold,0.15,4.8,0.6120231079797855,1.3320231079797855
sudden,304,Combined,0.15,0.4,0.6160771107362256,0.6760771107362257
sudden,304,Cold,0.3,3.4000000000000004,0.7724720931478039,1.792472093147804
sudden,304,Combined,0.3,0.0,0.741219426963154,0.741219426963154
sudden,304,Cold,0.6,1.9999999999999998,1.3034537267778965,2.5034537267778965
sudden,304,Combined,0.6,0.0,0.741219426963154,0.741219426963154
