regime,seed,method,snapshot_t,delta,gain_vs_cold
stationary,101,Param,1,0.0,0.02288981974436305
stationary,101,State,1,0.0,0.02288981974436305
stationary,101,Combined,1,0.0,0.18
stationary,101,Param,2,0.0,0.08288981974436306
stationary,101,State,2,0.0,0.08288981974436306
stationary,101,Combined,2,0.0,0.18
stationary,101,Param,3,0.0,0.08288981974436306
stationary,101,State,3,0.0,0.08288981974436306
stationary,101,Combined,3,0.0,0.18
stationary,101,Param,4,0.0,0.08288981974436306
stationary,101,State,4,0.0,0.08288981974436306
stationary,101,Combined,4,0.0,0.18
stationary,101,Param,5,0.0,0.08288981974436306
stationary,101,State,5,0.0,0.08288981974436306
stationary,101,Combined,5,0.0,0.18
stationary,101,Param,6,0.0,0.08288981974436306
stationary,101,State,6,0.0,0.08288981974436306
stationary,101,Combined,6,0.0,0.18
stationary,101,Param,7,0.0,0.08288981974436306
stationary,101,State,7,0.0,0.08288981974436306
stationary,101,Combined,7,0.0,0.18
stationary,101,Param,8,0.0,0.08288981974436306
stationary,101,State,8,0.0,0.08288981974436306
stationary,101,Combined,8,0.0,0.18
stationary,101,Param,9,0.0,0.08288981974436306
stationary,101,State,9,0.0,0.08288981974436306
stationary,101,Combined,9,0.0,0.18
stationary,102,Param,1,0.0,0.02288981974436305
stationary,102,State,1,0.0,0.02288981974436305
stationary,102,Combined,1,0.0,0.18
stationary,102,Param,2,0.0,0.08288981974436306
stationary,102,State,2,0.0,0.08288981974436306
stationary,102,Combined,2,0.0,0.18
stationary,102,Param,3,0.0,0.08288981974436306
stationary,102,State,3,0.0,0.08288981974436306
stationary,102,Combined,3,0.0,0.18
stationary,102,Param,4,0.0,0.08288981974436306
stationary,102,State,4,0.0,0.08288981974436306
stationary,102,Combined,4,0.0,0.18
stationary,102,Param,5,0.0,0.08288981974436306
stationary,102,State,5,0.0,0.08288981974436306
stationary,102,Combined,5,0.0,0.18
stationary,102,Param,6,0.0,0.08288981974436306
stationary,102,State,6,0.0,0.08288981974436306
stationary,102,Combined,6,0.0,0.18
stationary,102,Param,7,0.0,0.08288981974436306
stationary,102,State,7,0.0,0.08288981974436306
stationary,102,Combined,7,0.0,0.18
stationary,102,Param,8,0.0,0.08288981974436306
stationary,102,State,8,0.0,0.08288981974436306
stationary,102,Combined,8,0.0,0.18
stationary,102,Param,9,0.0,0.08288981974436306
stationary,102,State,9,0.0,0.08288981974436306
stationary,102,Combined,9,0.0,0.18
gradual,201,Param,1,0.05790101207497034,0.015327915031438322
