regime,delta,gain
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
stationary,0.0,0.18
gradual,0.07834393568834559,0.18
gradual,0.030120949113020545,0.18
gradual,0.038773283269301836,0.18
gradual,0.08603090997083108,0.18
gradual,0.07940023491469697,0.18
gradual,0.08820762128940736,0.18
gradual,0.030682625046717954,0.18
gradual,0.04244061594351206,0.18
gradual,0.09567560286521416,0.18
gradual,0.05221259156252273,0.18
gradual,0.0350145802449099,0.18
gradual,0.05398630247216927,0.18
gradual,0.08430198107061744,0.18
gradual,0.12360537473960187,0.18
gradual,0.07190025603357054,0.18
gradual,0.1642755976986897,0.17880860426806813
gradual,0.12281027564416636,0.12
gradual,0.21674931963561567,0.15246697541623383
gradual,0.053814096322874636,0.18
gradual,0.05964291965227683,0.18
gradual,0.13916704268657112,0.18
gradual,0.031221539355464144,0.18
gradual,0.07264538702040196,0.18
gradual,0.09241307631346496,0.18
gradual,0.07588467220313366,0.18
gradual,0.04492267445009987,0.18
gradual,0.03854518758344392,0.18
sudden,0.08931999697597216,0.18
sudden,0.07239525473766309,0.1549418673650417
sudden,0.08608583400532331,0.12
sudden,0.02645415698268183,0.12
sudden,0.277043017714779,0.08273564734868799
sudden,0.030352159892745395,0.09035093810794428
sudden,0.03777417680685155,0.06806540646709491
sudden,0.025004568711771022,0.06121902056722128
sudden,0.07451718056867078,0.10173236176115763
sudden,0.09873506440207183,0.18
sudden,0.08539604453706624,0.18
sudden,0.11940748166928922,0.18
sudden,0.1315397062604562,0.18
sudden,0.26495738195455487,0.08885682941111461
sudden,0.039376624967869575,0.11999999999999998
sudden,0.06566766883771255,0.0730015938280476
sudden,0.03884280592941909,0.09107808745962334
sudden,0.06661927603895884,0.08075175122449818
sudden,0.013766682778434963,0.18
sudden,0.05160651801672338,0.18
sudden,0.1689515082981236,0.1597751045329166
sudden,0.10415925425556632,0.12
sudden,0.37409670464173916,-0.06
sudden,0.02400460223182924,0.14486701936581858
sudden,0.02495644985766441,0.12267305061392617
sudden,0.10856872575859043,0.1367424069643174
sudden,0.08425719805051043,0.09180282779975255
